Date,Open,High,Low,Close,Volume,AdjClose
1996-12-16,15.1981,15.3541,15.0831,15.1726,1228124,4.8030
1996-12-17,15.0576,15.0959,14.8019,14.9271,1102856,4.7253
1996-12-18,14.9809,15.2748,14.9553,15.1726,967364,4.8030
1996-12-19,15.1087,15.1981,14.8581,15.0576,1249598,4.7666
1996-12-20,15.2365,15.3516,14.8786,14.8786,1239882,4.7099
1996-12-23,15.0013,15.0576,14.7507,14.8786,351768,4.7099
1996-12-24,14.8786,14.8786,14.8786,14.8786,0,4.7099
1996-12-25,14.8786,14.8786,14.8786,14.8786,0,4.7099
1996-12-26,14.8786,14.8786,14.8786,14.8786,0,4.7099
1996-12-27,14.9553,15.1317,14.9553,15.1061,254624,4.7819
1996-12-30,15.0576,15.1522,14.9425,15.1215,509246,4.7868
1996-12-31,15.1215,15.1215,15.1215,15.1215,0,4.7868
1997-01-01,15.1215,15.1215,15.1215,15.1215,0,4.7868
1997-01-02,14.9042,15.0320,14.4824,14.5693,1449512,4.6120
1997-01-03,14.6741,15.0576,14.6741,15.0320,1002644,4.7585
1997-01-06,15.2289,15.3516,14.8531,14.9553,1754242,4.7342
1997-01-07,14.8786,14.9297,14.4210,14.4389,2714960,4.5707
1997-01-08,14.5079,14.5922,14.2804,14.3673,2273204,4.5480
1997-01-09,14.3673,14.3673,14.3673,14.3673,0,4.5480
1997-01-10,14.7891,14.8581,14.5309,14.7201,1866216,4.6597
1997-01-13,14.8531,15.1292,14.8531,15.0831,1481724,4.7746
1997-01-14,15.0831,15.2161,15.0013,15.2058,1633578,4.8135
1997-01-15,15.3132,15.6174,15.3132,15.4155,2083514,4.8798
1997-01-16,15.3516,15.3899,14.9937,15.2748,1618750,4.8353
1997-01-17,15.4026,15.4410,15.1087,15.2493,1176994,4.8273
1997-01-20,15.3387,15.4026,14.9681,14.9681,1488370,4.7382
1997-01-21,14.9681,14.9681,14.9681,14.9681,0,4.7382
1997-01-22,15.0831,15.3387,15.0320,15.3209,8721106,4.8499
1997-01-23,15.3259,15.3899,15.1164,15.3669,1227612,4.8645
1997-01-24,15.3055,15.3055,15.0882,15.1803,1334472,4.8054
1997-01-27,15.2032,15.2748,15.0652,15.0934,1534386,4.7779
1997-01-28,15.1470,15.3950,15.0320,15.3643,1713340,4.8637
1997-01-29,15.1880,15.5944,15.1880,15.2646,1569154,4.8321
1997-01-30,15.2877,15.3516,15.1342,15.2007,1063488,4.8119
1997-01-31,15.2748,15.3004,15.0064,15.0703,795058,4.7706
1997-02-03,15.1470,15.1470,14.9297,15.1010,1053262,4.7803
1997-02-04,15.1981,15.2851,15.1623,15.1726,1314020,4.8030
1997-02-05,15.2748,15.6072,15.2672,15.4819,2865280,4.9009
1997-02-06,15.4819,15.4819,15.4819,15.4819,0,4.9009
1997-02-07,15.7222,16.0035,15.7171,15.9727,896294,5.0563
1997-02-10,15.9268,16.1568,15.7733,16.0699,1624374,5.0870
1997-02-11,16.1057,16.1978,16.0239,16.1517,1399918,5.1129
1997-02-12,16.1517,16.1517,16.1517,16.1517,0,5.1129
1997-02-13,16.2591,16.3076,15.9626,16.2540,1941886,5.1453
1997-02-14,16.2591,16.3486,16.0802,16.1441,1314532,5.1105
1997-02-17,16.1568,16.2208,16.0264,16.2105,1528252,5.1315
1997-02-18,16.2335,16.5121,16.2335,16.3102,2225142,5.1631
1997-02-19,16.3102,16.3102,16.3102,16.3102,0,5.1631
1997-02-20,16.1568,16.1568,15.9702,16.0597,1116662,5.0838
1997-02-21,15.9268,15.9778,15.7401,15.9242,1876952,5.0409
1997-02-24,15.8500,15.8629,15.6788,15.7555,880444,4.9875
1997-02-25,15.8117,15.9727,15.8117,15.9268,1447468,5.0417
1997-02-26,15.9139,15.9523,15.7350,15.8705,1005712,5.0239
1997-02-27,15.8500,16.1542,15.8500,16.0546,1350322,5.0822
1997-02-28,16.0035,16.0418,15.8781,15.9268,986794,5.0417
1997-03-03,15.9395,16.0929,15.8629,15.9268,818578,5.0417
1997-03-04,16.1057,16.4841,16.0802,16.3895,2225142,5.1882
1997-03-05,16.3230,16.4968,16.2821,16.4151,4260084,5.1963
1997-03-06,16.5403,16.6733,16.3869,16.4380,2011422,5.2036
1997-03-07,16.4636,16.5147,16.2335,16.4662,1554328,5.2125
1997-03-10,16.5633,16.9672,16.5403,16.8598,2340182,5.3371
1997-03-11,16.9110,17.2050,16.5429,16.5582,2906184,5.2416
1997-03-12,16.5786,16.7064,16.1696,16.2105,2622928,5.1315
1997-03-13,16.1568,16.4125,16.0623,16.3869,2136178,5.1874
1997-03-14,16.2208,16.5607,16.1313,16.4380,1781340,5.2036
1997-03-17,16.3869,16.4764,16.1313,16.3102,1240394,5.1631
1997-03-18,16.3639,16.6681,15.7375,15.8296,2904650,5.0109
1997-03-19,15.9114,16.1108,15.9012,15.9778,1337540,5.0579
1997-03-20,15.9804,15.9804,15.3797,15.5944,2035964,4.9365
1997-03-21,15.8500,15.9778,15.6839,15.8500,1985346,5.0174
1997-03-24,15.9268,16.1568,15.8756,15.9242,998554,5.0409
1997-03-25,16.0035,16.2208,16.0035,16.1824,933618,5.1226
1997-03-26,16.1057,16.5454,16.0750,16.5275,1526718,5.2319
1997-03-27,16.5147,16.5147,16.0188,16.0188,478570,5.0708
1997-03-28,16.0188,16.0188,16.0188,16.0188,0,5.0708
1997-03-31,16.0188,16.0188,16.0188,16.0188,0,5.0708
1997-04-01,15.5177,15.7171,15.2620,15.5049,1732256,4.9082
1997-04-02,15.6200,15.8500,15.0192,15.2595,1893314,4.8305
1997-04-03,15.3516,16.0802,15.0959,16.0802,3335156,5.0903
1997-04-04,16.2080,16.3997,15.9268,16.1696,2172480,5.1186
1997-04-07,16.3358,16.9979,16.3358,16.8957,2305926,5.3484
1997-04-08,16.9876,17.0260,16.6528,16.8011,1445934,5.3185
1997-04-09,16.8982,17.0260,16.8087,16.9749,1596254,5.3735
1997-04-10,16.9749,16.9979,16.6707,16.8343,1334472,5.3290
1997-04-11,16.8727,17.1436,16.7448,16.8701,1649938,5.3403
1997-04-14,16.6042,16.8445,16.5403,16.7141,1268004,5.2910
1997-04-15,16.8266,17.1283,16.7602,17.1155,1601366,5.4180
1997-04-16,17.1155,17.1155,17.1155,17.1155,0,5.4180
1997-04-17,17.2689,17.3328,17.1257,17.1385,1514446,5.4253
1997-04-18,17.0516,17.1360,16.8598,17.1360,883512,5.4245
1997-04-21,17.0388,17.3967,16.7448,17.2561,1250620,5.4625
1997-04-22,17.2561,17.3839,17.0464,17.1283,1081894,5.4221
