Date,Open,High,Low,Close,Volume,AdjClose
2007-01-05,24.9300,25.0500,24.8500,25.0200,27800,20.8089
2007-01-08,25.9400,25.9400,24.8400,24.9800,143600,20.7757
2007-01-09,24.8000,24.8200,24.6000,24.6600,136700,20.5095
2007-01-10,24.7000,24.8200,24.5000,24.7300,76600,20.5677
2007-01-11,24.9000,25.1300,24.8000,25.1000,159600,20.8755
2007-01-12,25.3000,27.3000,25.3000,27.1000,333500,22.5388
2007-01-16,27.5000,28.1500,25.9200,26.0000,1685800,21.6240
2007-01-17,26.1000,26.1500,25.6000,25.8700,719800,21.5159
2007-01-18,26.2400,26.2700,25.7200,26.0000,592100,21.6240
2007-01-19,25.9500,26.0000,25.7500,25.8500,349300,21.4992
2007-01-22,25.8100,26.1200,25.7500,26.1000,296700,21.7072
2007-01-23,26.2500,26.5800,26.0500,26.5700,542900,22.0980
2007-01-24,26.3500,26.3500,25.9000,26.0500,363300,21.6656
2007-01-25,26.0100,26.1500,25.7700,25.9300,226100,21.5658
2007-01-26,25.9500,26.0500,25.7600,26.0400,189600,21.6573
2007-01-29,25.9500,25.9500,25.5800,25.6000,157700,21.2913
2007-01-30,25.5100,25.9200,25.4000,25.9200,159800,21.5575
2007-01-31,25.9800,26.0800,25.8000,25.9000,157000,21.5408
2007-02-01,25.9600,26.0600,25.7700,25.8000,110600,21.4576
2007-02-02,25.7500,26.0300,25.6700,26.0300,109400,21.6489
2007-02-05,26.0500,26.1400,25.9200,26.0800,214500,21.6905
2007-02-06,26.0400,26.0400,25.5900,25.7000,281200,21.3745
2007-02-07,25.6000,25.7300,25.5400,25.6600,132200,21.3412
2007-02-08,25.6600,25.9200,25.5600,25.8800,65200,21.5242
2007-02-09,26.0000,26.2500,25.7500,26.1600,174200,21.7571
2007-02-12,26.1900,26.2200,25.8600,25.9400,161900,21.5741
2007-02-13,25.9900,26.2800,25.9000,26.1700,283800,21.7654
2007-02-14,26.1900,26.2200,25.8600,26.0000,406100,21.6240
2007-02-15,26.1000,26.3600,26.1000,26.3200,176600,21.8901
2007-02-16,26.3200,26.7800,26.2500,26.7400,226300,22.2394
2007-02-20,26.7400,26.7500,26.5000,26.6600,299800,22.1729
2007-02-21,26.5600,27.0500,26.4500,26.9600,269700,22.4224
2007-02-22,27.2000,27.6600,27.1300,27.5000,788100,22.8715
2007-02-23,27.4000,27.4500,27.1000,27.1900,698100,22.6137
2007-02-26,27.5000,27.5400,27.1500,27.1600,231900,22.5887
2007-02-27,27.0200,27.0400,26.3000,26.5300,573900,22.0648
2007-02-28,26.6900,27.0000,26.4800,27.0000,196200,22.4557
2007-03-01,26.7400,26.7700,26.2300,26.6400,167400,22.1563
2007-03-02,26.4100,26.7800,26.3900,26.3900,121900,21.9483
2007-03-05,25.8400,26.3400,25.7000,26.3400,253700,21.9068
2007-03-06,26.5000,26.5300,26.1600,26.2000,127400,21.7903
2007-03-07,26.2500,26.5700,26.1500,26.4400,175400,21.9899
2007-03-08,26.5400,26.6500,26.3200,26.4200,109600,21.9733
2007-03-09,26.4400,26.4900,26.0800,26.3100,97000,21.8818
2007-03-12,26.3400,26.3400,26.0000,26.1300,91700,21.7321
2007-03-13,26.1800,26.2500,25.8700,25.8900,111900,21.5325
2007-03-14,25.7000,25.9800,25.5300,25.9800,172900,21.6074
2007-03-15,25.9700,26.0500,25.5800,25.6000,131400,21.2913
2007-03-16,25.5300,26.0900,25.5000,25.9200,83000,21.5575
2007-03-19,25.8800,26.1200,25.7000,25.9900,96500,21.6157
2007-03-20,25.9000,26.2000,25.8800,26.1800,95100,21.7737
2007-03-21,26.2900,26.3400,26.1600,26.3200,148100,21.8901
2007-03-22,26.2100,26.3900,26.1400,26.3500,103400,21.9151
2007-03-23,26.3900,26.4300,26.1700,26.2800,99700,21.8569
2007-03-26,26.0100,26.1500,25.6400,25.8000,194700,21.4576
2007-03-27,25.8900,25.9500,25.7800,25.9200,96200,21.5575
2007-03-28,26.0400,26.1100,25.8000,26.0700,149600,21.6822
2007-03-29,26.0400,26.1400,25.7600,26.0900,214600,21.6988
2007-03-30,26.0300,26.0800,24.9000,25.1900,692200,20.9503
2007-04-02,24.8800,25.2200,24.5300,25.0700,291800,20.8505
2007-04-03,25.1700,25.2200,24.7200,24.8800,506800,20.6925
2007-04-04,25.0500,25.3000,24.8700,25.1800,270800,20.9420
2007-04-05,25.2000,25.5400,25.1200,25.4300,171800,21.1499
2007-04-09,26.0100,26.1000,25.3500,25.4600,373300,21.1749
2007-04-10,25.5100,25.7100,25.2700,25.5500,211000,21.2497
2007-04-11,25.7800,25.7900,25.4000,25.5700,153500,21.2664
2007-04-12,25.4900,25.5500,25.1000,25.4900,226700,21.1998
2007-04-13,25.5500,25.9700,25.4900,25.8200,208000,21.4743
2007-04-16,25.7100,25.8500,25.5000,25.6100,221800,21.2996
2007-04-17,25.6500,25.8100,25.2400,25.2700,169600,21.0169
2007-04-18,25.3400,25.3400,25.0300,25.1200,178100,20.8921
2007-04-19,25.1000,25.4300,25.1000,25.4300,123400,21.1499
2007-04-20,25.4200,25.5000,25.2000,25.5000,107000,21.2081
2007-04-23,25.2500,25.2900,24.9600,25.0000,323000,20.7923
2007-04-24,24.8700,25.0300,24.8300,24.9500,130800,20.7507
2007-04-25,25.0800,25.9600,25.0000,25.5500,203100,21.2497
2007-04-26,25.8500,25.9000,25.3200,25.4400,185600,21.1582
2007-04-27,25.3700,25.3700,25.0000,25.1100,326800,20.8838
2007-04-30,24.9200,25.1900,24.8200,24.8500,281700,20.6675
2007-05-01,24.9400,25.3700,24.7000,25.2600,151600,21.0085
2007-05-02,25.4000,25.4200,25.0600,25.1200,266300,20.8921
2007-05-03,25.1500,25.6600,25.1500,25.4400,2224700,21.1582
2007-05-04,25.5000,25.6100,25.3000,25.6100,402000,21.2996
2007-05-07,25.6600,25.6800,25.1500,25.3200,160700,21.0584
2007-05-08,24.9400,25.0400,24.7800,24.8300,334500,20.6509
2007-05-09,24.7800,24.9600,24.7800,24.9000,310300,20.7091
2007-05-10,24.8000,25.0000,24.6000,24.7200,163100,20.5594
2007-05-11,24.6200,25.4000,24.6200,25.3300,281300,21.0668
2007-05-14,25.4700,25.5100,25.2600,25.2600,170200,21.0085
2007-05-15,25.0000,25.4200,24.8800,25.3400,313300,21.0751
2007-05-16,25.3700,25.5600,25.2400,25.3000,190400,21.0418
2007-05-17,25.3000,25.4100,25.1100,25.1300,255000,20.9004
2007-05-18,25.1600,25.2500,24.8100,24.8800,144200,20.6925
2007-05-21,25.0500,25.4000,25.0100,25.3400,289700,21.0751
2007-05-22,25.1000,25.3000,24.9000,24.9900,164200,20.7840
2007-05-23,25.2500,25.2500,25.0400,25.1000,110400,20.8755
2007-05-24,25.3100,25.5600,25.1800,25.5500,178200,21.2497
2007-05-25,25.7900,26.1200,25.7000,26.0000,208000,21.6240
2007-05-29,25.8300,25.8900,25.5000,25.5800,158800,21.2747
2007-05-30,25.6900,26.2400,25.5100,26.2300,235400,21.8153
2007-05-31,26.3600,26.5000,26.0000,26.3500,278900,21.9151
2007-06-01,26.2600,26.6200,26.1100,26.3900,290800,21.9483
2007-06-04,26.3900,26.4900,26.1200,26.2300,193800,21.8153
2007-06-05,26.3000,26.5200,26.1400,26.3100,154900,21.8818
2007-06-06,26.4100,26.4100,25.9600,26.1100,131700,21.7155
2007-06-07,26.0700,26.5700,25.9700,26.5600,163900,22.0897
2007-06-08,26.3700,26.5000,26.0300,26.4300,84700,21.9816
2007-06-11,26.5800,27.1500,26.5200,26.8600,265500,22.3392
2007-06-12,26.9100,27.1000,26.7200,26.9700,277000,22.4307
2007-06-13,26.7300,27.3000,26.6100,27.2800,394200,22.6886
2007-06-14,27.3000,27.6200,27.1500,27.5000,446300,22.8715
2007-06-15,27.4600,27.8700,27.4300,27.8700,473800,23.1793
2007-06-18,27.9500,28.3500,27.6100,28.1500,548800,23.4121
2007-06-19,28.1000,28.1000,27.0500,27.1200,836900,22.5555
2007-06-20,27.1000,27.7400,27.0000,27.2300,738600,22.6470
2007-06-21,27.5800,27.8500,27.0400,27.1700,352900,22.5971
2007-06-22,27.1500,27.2600,26.3400,26.6900,535100,22.1979
