Date,Open,High,Low,Close,Volume,AdjClose
2003-04-14,11.1444,11.2222,11.1444,11.2222,93600,7.1993
2003-04-15,11.2911,11.3889,11.2911,11.3556,421200,7.2848
2003-04-16,11.4778,11.5333,11.4778,11.4867,9000,7.3689
2003-04-17,11.5500,11.5722,11.5300,11.5689,17100,7.4217
2003-04-21,11.5822,11.5833,11.5556,11.5644,72900,7.4188
2003-04-22,11.5633,11.6033,11.5278,11.6033,19800,7.4438
2003-04-23,11.6111,11.6578,11.5722,11.6578,31500,7.4787
2003-04-24,11.5667,11.5667,11.4000,11.4278,90000,7.3312
2003-04-25,11.2678,11.2678,11.2222,11.2389,102600,7.2100
2003-04-28,11.2678,11.4244,11.2667,11.4244,91800,7.3290
2003-04-29,11.6011,11.7556,11.6011,11.7500,76500,7.5379
2003-04-30,11.7222,11.7322,11.6867,11.7167,228600,7.5165
2003-05-01,11.6833,11.7300,11.6667,11.6711,234900,7.4873
2003-05-02,11.7089,11.8500,11.7089,11.8500,67500,7.6020
2003-05-05,11.8944,11.9800,11.8944,11.9778,47700,7.6840
2003-05-06,11.9778,12.0533,11.9667,12.0389,109800,7.7232
2003-05-07,11.9889,12.0189,11.9789,12.0167,313200,7.7089
2003-05-08,11.9444,11.9511,11.9000,11.9111,417600,7.6412
2003-05-09,11.9278,12.0600,11.9278,12.0511,63000,7.7310
2003-05-12,12.1056,12.2189,12.1000,12.2189,752400,7.8387
2003-05-13,12.1756,12.1756,12.1167,12.1500,276300,7.7945
2003-05-14,12.1500,12.1500,12.0656,12.0889,206100,7.7553
2003-05-15,12.1133,12.1133,12.0833,12.1133,337500,7.7709
2003-05-16,12.1444,12.1667,12.0889,12.1222,256500,7.7767
2003-05-19,12.0444,12.0444,11.7889,11.8333,128700,7.5913
2003-05-20,11.8611,11.9067,11.8278,11.8922,53100,7.6291
2003-05-21,11.8711,11.9056,11.8089,11.9022,45900,7.6355
2003-05-22,11.9056,12.0100,11.9056,12.0100,84600,7.7047
2003-05-23,12.0944,12.1622,12.0944,12.1333,74700,7.7838
2003-05-27,12.1622,12.5756,12.1622,12.5678,864000,8.0625
2003-05-28,12.5678,12.6400,12.5678,12.6222,396000,8.0974
2003-05-29,12.6111,12.6644,12.5889,12.6389,306900,8.1081
2003-05-30,12.6667,12.7856,12.6411,12.7856,368100,8.2022
2003-06-02,12.8222,13.0222,12.8222,12.8778,587700,8.2614
2003-06-03,12.8889,12.8889,12.6744,12.7800,244800,8.1986
2003-06-04,12.7778,12.9456,12.7778,12.9444,241200,8.3041
2003-06-05,12.9911,12.9911,12.8733,12.9578,509400,8.3127
2003-06-06,13.0278,13.2111,13.0267,13.0789,608400,8.3904
2003-06-09,13.0956,13.0956,12.9256,12.9667,208800,8.3184
2003-06-10,12.9711,13.1000,12.9711,13.1000,233100,8.4039
2003-06-11,13.0944,13.1211,13.0000,13.1111,294300,8.4110
2003-06-12,13.1333,13.2100,13.1233,13.2100,402300,8.4745
2003-06-13,13.1789,13.2167,13.1689,13.2056,694800,8.4716
2003-06-16,13.2444,13.3489,13.2278,13.3478,163800,8.5629
2003-06-17,13.4844,13.6333,13.4844,13.6222,352800,8.7389
2003-06-18,13.5856,13.6489,13.5422,13.5722,171900,8.7069
2003-06-19,13.6833,13.7056,13.5556,13.5722,225900,8.7069
2003-06-20,13.6111,13.6333,13.5333,13.5722,300600,8.7069
2003-06-23,13.5278,13.5278,13.2356,13.2389,332100,8.4930
2003-06-24,13.1833,13.1833,13.0667,13.1411,188100,8.4303
2003-06-25,13.1744,13.3311,13.1744,13.2500,1045800,8.5001
2003-06-26,13.3133,13.4000,13.2900,13.3933,210600,8.5921
2003-06-27,13.4111,13.4167,13.2978,13.3311,373500,8.5522
2003-06-30,13.3689,13.3689,13.3000,13.3222,279900,8.5465
2003-07-01,13.3722,13.4778,13.3333,13.4667,679500,8.6391
2003-07-02,13.6167,13.7933,13.6167,13.7833,1129500,8.8423
2003-07-03,13.8222,13.8289,13.7944,13.8222,110700,8.8672
2003-07-07,13.9667,14.1644,13.9667,14.1644,569700,9.0868
2003-07-08,14.1911,14.2300,14.1389,14.2044,347400,9.1124
2003-07-09,14.1944,14.1944,14.1111,14.1711,472500,9.0911
2003-07-10,14.0933,14.0933,13.8778,13.9222,1603800,8.9314
2003-07-11,13.9222,14.0389,13.9222,14.0389,212400,9.0062
2003-07-14,14.1944,14.3444,14.1944,14.2856,683100,9.1645
2003-07-15,14.3556,14.3556,14.1056,14.1056,2222100,9.0490
2003-07-16,14.0778,14.1556,14.0367,14.1167,828000,9.0561
2003-07-17,14.0278,14.0278,13.7478,13.7478,367200,8.8195
2003-07-18,13.7722,13.9311,13.7722,13.9311,205200,8.9371
2003-07-21,13.8767,13.8767,13.7289,13.7467,2148300,8.8188
2003-07-22,13.7822,13.9289,13.7667,13.9111,1022400,8.9243
2003-07-23,13.8667,13.8667,13.7400,13.8222,904500,8.8672
