Date,Open,High,Low,Close,Volume,AdjClose
1996-03-18,13.4375,13.4375,13.4375,13.4375,500,6.5692
1996-03-19,13.6250,13.6250,13.5000,13.5000,2500,6.5997
1996-03-20,13.5000,13.5000,13.5000,13.5000,0,6.5997
1996-03-21,13.5000,13.5000,13.5000,13.5000,0,6.5997
1996-03-22,13.5000,13.5000,13.5000,13.5000,300,6.5997
1996-03-25,13.6875,13.6875,13.6875,13.6875,25000,6.6914
1996-03-26,13.6250,13.6250,13.5000,13.6250,17200,6.6608
1996-03-27,13.6250,13.6250,13.5000,13.5000,31500,6.5997
1996-03-28,13.6250,13.6250,13.6250,13.6250,3000,6.6608
1996-03-29,13.5000,13.5000,13.5000,13.5000,300100,6.5997
1996-04-01,13.5625,13.5625,13.5625,13.5625,60900,6.6303
1996-04-02,13.6250,13.6250,13.5000,13.6250,22000,6.6608
1996-04-03,13.5000,13.5000,13.4375,13.5000,2800,6.5997
1996-04-04,13.4375,13.4375,13.4375,13.4375,100,6.5692
1996-04-08,13.3125,13.3750,13.3125,13.3750,33000,6.5386
1996-04-09,13.5000,13.5000,13.4375,13.4375,134000,6.5692
1996-04-10,13.5000,13.5000,13.4375,13.4375,26600,6.5692
1996-04-11,13.4375,13.4375,13.4375,13.4375,300,6.5692
1996-04-12,13.4375,13.4375,13.4375,13.4375,100,6.5692
1996-04-15,13.3750,13.4375,13.3750,13.4375,2600,6.5692
1996-04-16,13.4375,13.4375,13.4375,13.4375,5200,6.5692
1996-04-17,13.3750,13.3750,13.3750,13.3750,400,6.5386
1996-04-18,13.3750,13.3750,13.2500,13.3750,700,6.5386
1996-04-19,13.3750,13.4375,13.3750,13.4375,500,6.5692
1996-04-22,13.4375,13.4375,13.3750,13.3750,1300,6.5386
1996-04-23,13.3750,13.3750,13.3750,13.3750,400,6.5386
1996-04-24,13.2500,13.2500,13.2500,13.2500,1200,6.4775
1996-04-25,13.1875,13.1875,13.1875,13.1875,1900,6.4469
1996-04-26,13.1250,13.2500,13.1250,13.2500,1000,6.4775
1996-04-29,13.1250,13.1250,13.0625,13.1250,13000,6.4164
1996-04-30,12.8750,12.8750,12.8750,12.8750,1000,6.2942
1996-05-01,12.9375,12.9375,12.9375,12.9375,800,6.3247
1996-05-02,12.8125,12.9375,12.8125,12.9375,14300,6.3247
1996-05-03,12.9375,13.0000,12.9375,13.0000,21200,6.3553
1996-05-06,13.0000,13.0000,13.0000,13.0000,14900,6.3553
1996-05-07,13.0000,13.0000,13.0000,13.0000,17800,6.3553
1996-05-08,13.0000,13.0625,12.9375,13.0625,3200,6.3858
1996-05-09,13.0625,13.0625,13.0625,13.0625,3900,6.3858
1996-05-10,13.0625,13.0625,13.0625,13.0625,1500,6.3858
1996-05-13,13.0000,13.0000,12.8125,12.8750,23300,6.2942
1996-05-14,13.0625,13.0625,13.0625,13.0625,8500,6.3858
1996-05-15,13.1250,13.1250,13.1250,13.1250,1300,6.4164
1996-05-16,13.2500,13.2500,13.1250,13.1250,3100,6.4164
1996-05-17,13.2500,13.2500,13.2500,13.2500,2000,6.4775
1996-05-20,13.2500,13.2500,13.2500,13.2500,2400,6.4775
1996-05-21,13.3750,13.3750,13.0000,13.1250,45300,6.4164
1996-05-22,13.1875,13.1875,13.1250,13.1250,400,6.4164
1996-05-23,13.1875,13.2500,13.1875,13.2500,5500,6.4775
1996-05-24,13.2500,13.2500,13.1875,13.2500,7700,6.4775
1996-05-28,13.2500,13.2500,13.1875,13.1875,5400,6.4469
1996-05-29,13.1250,13.1250,13.1250,13.1250,3000,6.4164
1996-05-30,13.1875,13.1875,13.0625,13.1250,37900,6.4164
1996-05-31,13.2500,13.2500,13.1875,13.1875,400,6.4469
1996-06-03,13.3125,13.3125,13.1875,13.1875,500,6.4469
1996-06-04,13.2500,13.2500,13.2500,13.2500,1700,6.4775
1996-06-05,13.3750,13.3750,13.3750,13.3750,900,6.5386
1996-06-06,13.3750,13.3750,13.3750,13.3750,300,6.5386
1996-06-07,13.2500,13.3750,13.2500,13.3750,17000,6.5386
1996-06-10,13.3750,13.3750,13.2500,13.2500,1200,6.4775
1996-06-11,13.2500,13.2500,13.2500,13.2500,0,6.4775
1996-06-12,13.1250,13.2500,13.1250,13.2500,4100,6.4775
1996-06-13,13.2500,13.2500,13.2500,13.2500,0,6.4775
1996-06-14,13.2500,13.2500,13.2500,13.2500,0,6.4775
1996-06-17,13.0625,13.1875,13.0000,13.1875,15100,6.4469
1996-06-18,13.1875,13.5000,13.1875,13.5000,63200,6.5997
1996-06-19,13.6250,13.6250,13.3750,13.3750,5300,6.5386
1996-06-20,13.4375,13.4375,13.2500,13.2500,25600,6.4775
1996-06-21,13.2500,13.4375,13.1875,13.1875,9900,6.4469
1996-06-24,13.2500,13.3750,13.2500,13.3125,5900,6.5081
1996-06-25,13.4375,13.5000,13.4375,13.5000,13400,6.5997
1996-06-26,13.5000,13.5000,13.4375,13.4375,1800,6.5692
1996-06-27,13.5000,13.5000,13.3750,13.5000,8400,6.5997
1996-06-28,13.6250,13.6250,13.6250,13.6250,400,6.6608
1996-07-01,13.5625,13.5625,13.5625,13.5625,1800,6.6303
1996-07-02,13.5625,13.5625,13.5625,13.5625,1800,6.6303
1996-07-03,13.6250,13.6250,13.5000,13.6250,5000,6.6608
1996-07-05,13.5000,13.5000,13.5000,13.5000,200,6.5997
1996-07-08,13.5000,13.5000,13.5000,13.5000,1300,6.5997
1996-07-09,13.3750,13.3750,13.2500,13.3125,85100,6.5081
1996-07-10,13.3125,13.3125,13.3125,13.3125,0,6.5081
1996-07-11,13.4375,13.4375,13.2500,13.2500,4200,6.4775
1996-07-12,13.2500,13.3750,13.2500,13.3750,1200,6.5386
1996-07-15,13.4375,13.4375,13.3750,13.3750,2000,6.5386
1996-07-16,13.3125,13.3750,13.2500,13.3750,6700,6.5386
1996-07-17,13.5000,13.5000,13.5000,13.5000,1800,6.5997
1996-07-18,13.6250,13.6250,13.6250,13.6250,8300,6.6608
1996-07-19,13.5000,13.5625,13.5000,13.5625,6500,6.6303
1996-07-22,13.4375,13.4375,13.2500,13.2500,51000,6.4775
1996-07-23,13.3750,13.3750,13.3750,13.3750,1000,6.5386
1996-07-24,13.2500,13.3750,13.1250,13.1875,79700,6.4469
