Date,Open,High,Low,Close,Volume,AdjClose
1996-04-01,63.0000,66.2500,62.0000,65.7500,1088325,41.9644
1996-05-01,65.0000,65.7500,62.0000,62.7500,391550,40.0497
1996-06-01,62.2500,64.7500,61.0000,63.5000,416875,40.5284
1996-07-01,63.0000,63.2500,58.0000,60.5000,283950,38.6136
1996-08-01,60.5000,60.7500,57.2500,57.2500,332200,36.5393
1996-09-01,56.5000,60.0000,56.0000,59.2500,172975,37.8158
1996-10-01,58.7500,59.2500,55.0000,55.2500,248125,35.2629
1996-11-01,55.2500,58.0000,55.2500,56.5000,478300,36.0607
1996-12-01,55.7500,57.0000,51.5000,52.2500,331500,33.3481
1997-01-01,52.2500,53.0000,45.2500,47.0000,426625,29.9974
1997-02-01,46.7500,49.2500,44.5000,48.0000,1161175,30.6356
1997-03-01,47.7500,47.7500,45.0000,46.0000,308675,29.3591
1997-04-01,46.5000,48.7500,44.2500,48.7500,506450,31.1143
1997-05-01,48.7500,56.5000,48.5000,53.5000,613550,34.1459
1997-06-01,54.2500,58.2500,54.0000,56.5000,605525,36.0607
1997-07-01,56.5000,57.2500,55.2500,55.7500,465375,35.5820
1997-08-01,54.2500,55.5000,49.7500,50.2500,337525,32.0840
1997-09-01,49.2500,51.7500,48.2500,49.7500,544250,31.7648
1997-10-01,50.0000,50.2500,41.0000,45.0000,523375,28.7319
1997-11-01,45.7500,46.0000,38.7500,42.0000,648625,26.8165
1997-12-01,43.0000,43.2500,38.2500,39.5000,529050,25.2228
1998-01-01,39.7500,46.0000,37.2500,44.2500,1603800,28.2560
1998-02-01,44.2500,47.0000,41.0000,44.7500,1015825,28.5752
1998-03-01,45.5000,45.5000,39.5000,39.7500,814100,25.3825
1998-04-01,39.5000,42.5000,38.2500,41.2500,791750,26.3403
1998-05-01,41.0000,41.2500,38.5000,38.7500,676675,24.7439
1998-06-01,37.7500,39.7500,33.7500,39.2500,1467175,25.0632
1998-07-01,41.0000,41.7500,37.0000,37.7500,2427000,24.1054
1998-08-01,37.2500,37.7500,31.2500,31.5000,1441100,20.1401
1998-09-01,34.0000,37.2500,31.7500,32.0000,1554050,20.4598
1998-10-01,31.5000,41.0000,30.5000,38.7500,1921650,24.7755
1998-11-01,40.7500,42.7500,38.0000,40.0000,3678800,25.5747
1998-12-01,40.2500,42.2500,39.2500,41.0000,1386900,26.2396
1999-01-01,41.2500,42.7500,38.7500,42.0000,1319175,26.8795
1999-02-01,42.2500,42.5000,39.0000,40.5000,978650,25.9195
1999-03-01,40.0000,47.7500,38.7500,46.0000,3579825,29.4395
1999-04-01,47.7500,50.0000,47.0000,48.0000,3374625,30.7195
1999-05-01,48.2500,50.0000,44.0000,45.2500,2022650,28.9595
1999-06-01,46.2500,50.5000,45.5000,50.0000,2734525,31.9994
1999-07-01,50.5000,54.2500,50.2500,53.7500,3015350,34.3994
1999-08-01,53.7500,57.0000,50.5000,53.5000,3271150,34.3621
1999-09-01,55.2500,57.7500,53.7500,55.7500,3453325,35.8073
1999-10-01,56.7500,59.5000,54.7500,59.2500,2969325,38.0553
1999-11-01,59.0000,63.0000,58.2500,61.0000,2437575,39.1793
1999-12-01,61.5000,65.2500,59.5000,65.2500,2652050,42.2110
2000-01-01,66.0000,66.2500,58.5000,61.5000,3127375,39.7850
2000-02-01,61.2500,64.2500,57.7500,60.7500,2800600,39.2998
2000-03-01,61.2500,66.0000,56.7500,66.0000,3860675,42.6961
2000-04-01,64.7500,65.2500,58.7500,61.0000,1781450,39.4616
2000-05-01,61.5000,62.2500,55.2500,57.5000,2553200,37.1974
2000-06-01,57.5000,64.7500,56.7500,60.7500,1603775,39.2998
2000-07-01,61.0000,61.2500,52.0000,54.0000,1594450,34.9332
2000-08-01,54.5000,56.7500,53.2500,55.7500,1679900,37.2603
2000-09-01,55.7500,56.5000,51.7500,53.0000,1421850,35.4223
2000-10-01,53.5000,54.0000,49.2500,50.7500,1292900,33.9185
2000-11-01,50.7500,53.0000,46.5000,47.0000,1804175,31.4123
2000-12-01,48.2500,48.7500,43.0000,44.2500,4519475,31.1146
2001-01-01,44.5000,46.2500,41.7500,44.0000,4670425,30.9388
2001-02-01,44.0000,44.4000,41.6000,42.1200,2592375,29.6168
2001-03-01,41.2800,44.0800,36.2000,40.9600,3612275,28.8012
2001-04-01,40.4400,44.9600,40.0000,44.8800,2681650,31.5575
2001-05-01,45.4800,46.8800,43.1600,43.5600,4503275,30.6294
2001-06-01,43.5200,43.6000,40.0000,40.9200,2185725,28.7730
2001-07-01,40.8000,40.9600,36.6400,37.6000,2376700,26.4386
2001-08-01,38.1600,39.2400,35.7200,36.5600,2205950,25.7073
2001-09-01,36.1600,36.3200,31.0800,33.6000,2007325,23.6260
2001-10-01,33.4800,35.4400,33.1200,33.5600,2510100,23.5978
2001-11-01,33.9600,34.6800,32.6800,33.5200,2556400,23.5697
2001-12-01,32.8400,34.0400,30.2000,30.8400,3646550,21.6853
2002-01-01,31.0400,32.2800,28.2000,28.5600,3180475,20.0821
2002-02-01,28.2000,30.2400,26.8400,29.8800,2818375,21.0102
2002-03-01,30.6400,34.8000,30.6400,32.5600,6262250,22.8947
2002-04-01,31.4400,34.1600,31.2000,33.7600,4679050,23.7385
2002-05-01,33.7600,36.4800,33.2800,35.8400,9440800,25.2010
2002-06-01,36.1600,36.4800,31.7600,33.7200,7588450,23.7103
2002-07-01,33.9200,35.0400,31.0000,31.4400,7959000,22.1072
2002-08-01,31.0000,32.4400,30.5200,31.2400,5374975,21.9665
2002-09-01,29.8800,30.9200,28.5200,29.3200,6155375,20.6165
2002-10-01,28.7600,29.6000,26.0000,27.6400,12210150,19.4352
2002-11-01,27.9600,29.0000,26.5200,28.6400,4646450,20.1383
2002-12-01,28.6400,28.6400,26.4400,27.8000,5374575,19.5477
2003-01-01,28.0000,29.0800,26.8400,27.0800,6973650,19.0414
2003-02-01,27.4000,28.5200,27.0000,27.3600,4297825,19.2383
2003-03-01,27.4400,27.8000,25.5200,25.8400,10349000,18.1695
2003-04-01,26.1600,26.7600,24.7600,25.6400,7916250,18.0289
2003-05-01,25.6800,27.6000,25.5600,27.1600,12759325,19.0977
2003-06-01,27.9200,29.6400,27.4000,29.0800,18687275,20.4477
2003-07-01,29.2800,35.7200,29.2800,30.4000,38618350,21.3759
2003-08-01,30.1200,33.5600,29.3600,33.2000,27835175,23.3447
2003-09-01,34.3200,36.8000,33.8000,35.0400,35780550,24.6385
2003-10-01,35.6800,38.7600,34.4000,36.9600,36171675,25.9886
2003-11-01,37.3200,37.9600,34.2000,35.8400,34538900,25.2010
