Date,Open,High,Low,Close,Volume,AdjClose
2000-07-14,18.7500,18.8750,18.7500,18.8750,25000,7.1093
2000-07-17,19.9375,20.0000,19.9375,20.0000,10000,7.5330
2000-07-18,19.9375,19.9375,19.9375,19.9375,10000,7.5095
2000-07-19,19.4375,19.4375,19.4375,19.4375,10000,7.3211
2000-07-20,19.8750,19.8750,19.8750,19.8750,5000,7.4859
2000-07-21,20.0000,20.0000,20.0000,20.0000,200,7.5330
2000-07-24,20.0000,20.0000,20.0000,20.0000,0,7.5330
2000-07-25,20.0000,20.0000,20.0000,20.0000,0,7.5330
2000-07-26,20.0000,20.0000,20.0000,20.0000,0,7.5330
2000-07-27,19.7500,19.7500,19.7500,19.7500,100,7.4388
2000-07-28,20.0000,20.0000,19.3750,19.3750,21300,7.2976
2000-07-31,19.3125,19.3750,19.3125,19.3750,200,7.2976
2000-08-01,19.0000,19.2500,19.0000,19.2500,7400,7.2505
2000-08-02,19.0000,19.0000,19.0000,19.0000,100,7.1564
2000-08-03,18.8750,18.8750,18.8750,18.8750,10000,7.1093
2000-08-04,19.3750,19.6250,19.3750,19.6250,700,7.3918
2000-08-07,19.5625,19.6250,19.4375,19.6250,1100,7.3918
2000-08-08,19.6250,19.6250,19.6250,19.6250,0,7.3918
2000-08-09,19.6250,19.6250,19.6250,19.6250,0,7.3918
2000-08-10,19.0000,19.0000,19.0000,19.0000,200,7.1564
2000-08-11,19.4375,19.4375,19.4375,19.4375,600,7.3211
2000-08-14,19.4375,19.4375,19.4375,19.4375,0,7.3211
2000-08-15,20.2500,20.2500,20.0000,20.0000,5400,7.5330
2000-08-16,20.0000,20.0000,20.0000,20.0000,0,7.5330
2000-08-17,20.3125,20.3125,20.3125,20.3125,300,7.6507
2000-08-18,19.7500,19.7500,19.7500,19.7500,200,7.4388
2000-08-21,19.7500,19.7500,19.7500,19.7500,300,7.4388
2000-08-22,19.7500,19.7500,19.7500,19.7500,0,7.4388
2000-08-23,19.7500,19.7500,19.7500,19.7500,0,7.4388
2000-08-24,19.2500,19.2500,19.2500,19.2500,15000,7.3867
2000-08-25,19.5000,19.6250,19.5000,19.6250,2200,7.5306
2000-08-28,19.7500,19.7500,19.6875,19.6875,500,7.5545
2000-08-29,19.0000,19.3750,19.0000,19.1875,27300,7.3627
2000-08-30,19.1875,19.1875,19.1875,19.1875,0,7.3627
2000-08-31,19.8125,19.8750,19.7500,19.7500,2600,7.5785
2000-09-01,19.7500,19.7500,19.7500,19.7500,4900,7.5785
2000-09-05,19.6250,19.6250,19.6250,19.6250,300,7.5306
2000-09-06,20.1875,20.2500,20.1250,20.2500,2700,7.7704
2000-09-07,20.3750,20.3750,20.2500,20.3125,4400,7.7944
2000-09-08,20.0000,20.0000,19.5000,19.5000,1100,7.4826
2000-09-11,19.5000,20.0625,19.5000,20.0000,1400,7.6745
2000-09-12,19.6875,19.6875,19.6875,19.6875,500,7.5545
2000-09-13,19.3750,19.4375,19.2500,19.2500,2100,7.3867
2000-09-14,19.0000,19.0000,19.0000,19.0000,1100,7.2907
2000-09-15,18.4375,18.6250,18.4375,18.6250,10600,7.1468
2000-09-18,18.3750,18.3750,18.1250,18.1875,1000,6.9790
2000-09-19,18.0000,18.0625,18.0000,18.0625,10500,6.9310
2000-09-20,17.6250,17.6875,17.6250,17.6875,400,6.7871
2000-09-21,18.0000,18.0000,18.0000,18.0000,10000,6.9070
2000-09-22,18.0625,18.0625,18.0625,18.0625,1800,6.9310
2000-09-25,18.4375,18.4375,18.4375,18.4375,2000,7.0749
2000-09-26,17.7500,18.2500,17.7500,18.2500,10700,7.0029
2000-09-27,17.9375,17.9375,17.9375,17.9375,100,6.8830
2000-09-28,17.9375,17.9375,17.9375,17.9375,0,6.8830
2000-09-29,18.1250,18.1250,18.1250,18.1250,300,6.9550
2000-10-02,18.0625,18.0625,17.6250,17.8125,500,6.8351
2000-10-03,17.5625,17.5625,17.5625,17.5625,5100,6.7391
2000-10-04,17.5625,18.0000,17.5625,18.0000,200,6.9070
2000-10-05,18.1875,18.1875,18.1875,18.1875,200,6.9790
2000-10-06,18.0000,18.0000,18.0000,18.0000,200,6.9070
2000-10-09,17.1875,17.1875,17.1875,17.1875,100,6.5952
2000-10-10,17.7500,17.9375,17.5000,17.5000,900,6.7151
2000-10-11,17.6875,17.6875,17.6875,17.6875,200,6.7871
2000-10-12,17.0625,17.0625,17.0625,17.0625,500,6.5473
2000-10-13,17.1875,17.2500,17.1250,17.2500,12200,6.6192
2000-10-16,17.4375,17.4375,17.4375,17.4375,5800,6.6912
2000-10-17,17.1875,17.1875,17.0000,17.0000,300,6.5233
2000-10-18,17.0000,17.0000,17.0000,17.0000,0,6.5233
2000-10-19,17.1875,17.1875,17.1875,17.1875,2000,6.5952
2000-10-20,16.8750,16.9375,16.8750,16.9375,1500,6.4993
2000-10-23,16.6875,16.6875,16.1250,16.1250,300,6.1875
2000-10-24,16.1250,16.1250,16.1250,16.1250,0,6.1875
2000-10-25,15.1250,15.1250,15.1250,15.1250,200,5.8038
2000-10-26,15.1875,15.1875,15.1875,15.1875,100,5.8278
2000-10-27,15.1875,15.1875,15.1875,15.1875,0,5.8278
2000-10-30,15.1875,15.1875,15.1875,15.1875,0,5.8278
2000-10-31,16.1250,16.1250,16.1250,16.1250,500,6.1875
2000-11-01,16.3125,16.5000,16.3125,16.5000,1200,6.3314
2000-11-02,16.5000,16.5000,16.5000,16.5000,3100,6.3314
2000-11-03,16.2500,16.2500,15.7500,16.0000,1800,6.1396
2000-11-06,16.0000,16.0000,16.0000,16.0000,700,6.1396
2000-11-07,16.0000,16.0000,16.0000,16.0000,12000,6.1396
2000-11-08,16.6875,16.6875,16.0000,16.0000,7300,6.1396
2000-11-09,15.5625,15.5625,15.5000,15.5000,1500,5.9477
2000-11-10,15.5000,15.5000,15.5000,15.5000,0,5.9477
2000-11-13,15.7500,15.7500,15.3125,15.3125,4400,5.8758
2000-11-14,16.0000,16.0000,15.9375,15.9375,300,6.1156
2000-11-15,15.9375,15.9375,15.9375,15.9375,0,6.1156
2000-11-16,15.8125,15.8125,15.8125,15.8125,200,6.0676
2000-11-17,15.2500,15.4375,15.2500,15.3750,2800,5.8997
2000-11-20,15.3750,15.3750,15.3750,15.3750,0,5.8997
2000-11-21,15.3750,15.3750,15.3750,15.3750,0,5.8997
2000-11-22,15.3750,15.3750,15.3750,15.3750,0,5.8997
2000-11-24,15.3750,15.3750,15.3750,15.3750,0,5.8997
2000-11-27,15.5625,15.5625,15.3125,15.3125,7800,5.8758
2000-11-28,15.0000,15.0000,14.6875,14.6875,600,5.6359
2000-11-29,14.6875,14.6875,14.6875,14.6875,0,5.6359
2000-11-30,14.4375,14.4375,14.4375,14.4375,13900,5.5400
2000-12-01,14.4375,14.4375,14.4375,14.4375,0,5.5400
2000-12-04,14.3750,14.3750,14.3750,14.3750,400,5.5160
2000-12-05,14.3750,14.3750,14.3750,14.3750,0,5.5160
2000-12-06,15.1250,15.1250,15.1250,15.1250,1900,5.8038
2000-12-07,15.0625,15.3125,15.0625,15.3125,4400,5.8758
2000-12-08,15.8750,15.8750,15.8750,15.8750,43500,6.0916
2000-12-11,16.1875,16.1875,16.1875,16.1875,3700,6.2115
2000-12-12,16.3125,16.3125,16.2500,16.2500,3500,6.2355
2000-12-13,15.9375,16.0000,15.8125,16.0000,39900,6.1396
2000-12-14,16.2500,16.2500,16.2500,16.2500,5300,6.2355
2000-12-15,16.0000,16.0625,16.0000,16.0625,700,6.1635
2000-12-18,16.3750,16.3750,16.3750,16.3750,700,6.2835
2000-12-19,16.3750,16.3750,16.3750,16.3750,600,6.2835
2000-12-20,15.8125,15.8125,15.8125,15.8125,700,6.0695
2000-12-21,15.4375,15.8125,15.4375,15.8125,500,6.0695
2000-12-22,15.8750,15.8750,15.5000,15.5000,4000,5.9495
2000-12-26,15.5000,15.5000,15.5000,15.5000,0,5.9495
2000-12-27,15.8750,15.8750,15.8750,15.8750,600,6.0935
2000-12-28,16.3750,16.3750,16.3750,16.3750,800,6.2854
2000-12-29,16.3750,16.5000,16.0000,16.5000,24400,6.3334
2001-01-02,16.8750,16.8750,16.4375,16.6875,27600,6.4053
2001-01-03,16.6250,18.0000,16.6250,18.0000,2700,6.9091
2001-01-04,17.8750,17.9375,17.7500,17.7500,4000,6.8132
2001-01-05,17.3750,17.3750,17.3750,17.3750,500,6.6692
2001-01-08,17.3750,17.3750,17.3750,17.3750,0,6.6692
2001-01-09,17.9375,17.9375,17.8750,17.8750,2700,6.8611
2001-01-10,17.7500,17.8125,17.7500,17.7500,600,6.8132
2001-01-11,17.7500,17.8125,17.7500,17.8125,300,6.8371
2001-01-12,17.8125,17.9375,17.7500,17.8125,13700,6.8371
2001-01-16,17.8125,17.8125,17.4375,17.4375,3300,6.6932
2001-01-17,17.8750,18.2500,17.8750,18.2500,10800,7.0051
2001-01-18,18.3750,18.4375,18.3750,18.4375,1100,7.0770
2001-01-19,18.6250,18.6875,18.5000,18.6250,60200,7.1490
2001-01-22,18.5625,18.5625,18.3125,18.3125,10600,7.0291
2001-01-23,18.6250,18.6250,18.3750,18.6250,62400,7.1490
2001-01-24,18.8750,19.0000,18.6250,18.6250,1800,7.1490
2001-01-25,18.5625,18.5625,18.5625,18.5625,2000,7.1250
2001-01-26,18.3750,18.5000,18.3125,18.5000,700,7.1010
2001-01-29,18.2500,18.7000,18.2500,18.7000,19100,7.1778
2001-01-30,18.5000,18.5500,18.3000,18.3000,8200,7.0243
2001-01-31,18.3000,18.7500,18.3000,18.7500,54600,7.1970
2001-02-01,18.2200,18.2200,17.9500,17.9600,62500,6.8938
2001-02-02,17.7000,18.0700,17.5000,17.5000,8100,6.7172
2001-02-05,17.2500,17.2500,17.2500,17.2500,400,6.6212
