Date,Open,High,Low,Close,Volume,AdjClose
2015-11-06,19.8350,20.1813,19.7855,19.9933,1775788,11.5174
2015-11-09,20.1318,20.1318,19.8597,19.9240,52918,11.4775
2015-11-10,19.9339,20.2406,19.7855,19.8251,236784,11.4205
2015-11-11,19.8845,20.4286,19.5135,19.7361,1004556,11.3693
2015-11-12,19.6965,19.9587,19.6866,19.7855,56239,11.3977
2015-11-13,19.6965,19.7806,19.6372,19.6866,87951,11.3408
2015-11-16,19.6075,19.6767,19.4888,19.6372,258113,11.3123
2015-11-17,19.6866,19.8746,19.4987,19.8548,18695,11.4376
2015-11-18,19.9240,19.9834,19.7855,19.7855,10807,11.3977
2015-11-19,19.8350,19.9834,19.2909,19.5283,300403,11.2496
2015-11-20,19.5877,19.8350,19.3799,19.8350,73367,11.4262
2015-11-23,19.7855,19.9339,19.6372,19.6668,12983,11.3294
2015-11-24,19.5432,19.5877,19.2810,19.3997,138382,11.1755
2015-11-25,19.5382,19.7658,19.2810,19.5531,149170,11.2638
2015-11-26,19.3700,19.4888,19.2315,19.4888,140238,11.2268
2015-11-27,19.3008,21.9620,19.2909,19.9587,338301,11.4975
2015-11-30,19.6866,20.4780,19.4492,19.5877,92367,11.2838
2015-12-01,19.5877,19.5926,19.1425,19.5580,208612,11.2667
2015-12-02,19.4393,19.7855,19.3602,19.7855,21406,11.3977
2015-12-03,19.5432,20.5226,19.5432,20.3791,50901,11.7397
2015-12-04,20.4632,20.5819,19.9834,20.0823,39959,11.5687
2015-12-07,20.2802,21.7641,20.2802,21.5662,193657,12.4235
2015-12-08,21.4673,21.6602,20.8688,21.2596,74626,12.2469
2015-12-09,21.2695,21.2695,20.6017,21.1359,53303,12.1756
2015-12-10,21.4723,21.4723,20.0329,20.6561,34089,11.8993
2015-12-11,20.6314,20.6759,20.2357,20.5176,13199,11.8195
2015-12-14,21.0419,21.0815,20.3247,20.4286,67666,11.7682
2015-12-15,20.1318,21.0716,19.9834,20.3791,38926,11.7397
2015-12-16,20.7748,20.8490,20.5127,20.6017,8994,11.8679
2015-12-17,20.9232,20.9232,19.9438,20.2802,99648,11.6827
2015-12-18,20.2604,20.5572,19.9438,19.9933,16441,11.5174
2015-12-21,20.1615,20.5572,20.1071,20.1813,11021,11.6257
2015-12-22,20.5423,20.5423,20.2406,20.2406,11302,11.6599
2015-12-23,20.4335,20.7451,19.9982,20.7451,26447,11.9505
2015-12-25,20.7451,20.7451,20.7451,20.7451,0,11.9505
2015-12-28,20.7649,20.7649,20.1961,20.6017,7065,11.8679
2015-12-29,20.5671,20.5770,20.2555,20.4286,8359,11.7682
2015-12-30,20.2950,20.6215,19.6866,19.9191,57848,11.4747
2016-01-04,19.9240,20.0823,19.6866,20.0823,11119,11.5687
2016-01-05,20.1318,20.2802,19.7855,20.2802,15933,11.6827
2016-01-06,20.2802,20.2802,19.9488,19.9834,6533,11.5117
2016-01-07,19.8053,19.8103,19.4640,19.4888,27502,11.2268
2016-01-08,19.8350,19.8795,19.1920,19.1920,8781,11.0558
2016-01-11,19.0980,19.6866,19.0931,19.4888,21680,11.2268
2016-01-12,19.7855,19.7855,19.3997,19.5877,14415,11.2838
2016-01-13,19.7855,19.7855,19.2959,19.3404,53118,11.1413
2016-01-14,19.2612,19.3404,18.0296,18.3016,32571,10.5429
2016-01-15,18.1038,18.4253,17.2134,17.3124,51959,9.9730
2016-01-18,17.6091,17.6091,17.2431,17.3124,11129,9.9730
2016-01-19,17.7081,17.7081,17.0799,17.3124,28699,9.9730
2016-01-20,17.3124,17.5201,16.4517,16.8326,37014,9.6966
2016-01-21,16.8177,17.0156,16.6199,16.7682,9102,9.6596
2016-01-22,17.0156,17.2629,16.7732,16.9216,89148,9.7479
2016-01-25,17.0156,18.1483,16.6495,16.7880,14139,9.6710
2016-01-26,16.8177,17.5102,16.5160,17.3124,7934,9.9730
2016-01-27,17.3618,17.4113,16.9364,17.1244,5991,9.8648
2016-01-28,17.3074,17.3074,16.8177,16.8177,9752,9.6881
2016-01-29,17.1194,17.3272,16.7485,16.7485,11239,9.6482
2016-02-01,16.4418,16.9364,16.3874,16.3874,7551,9.4402
2016-02-02,16.5209,16.7979,16.4220,16.4220,9869,9.4601
2016-02-03,16.6100,16.6100,16.0461,16.3231,29732,9.4031
2016-02-04,16.3231,17.1145,16.0263,16.7287,9682,9.6368
2016-02-05,16.7485,17.1046,16.3429,16.3429,3571,9.4145
2016-02-08,16.3824,17.1491,15.1854,15.4327,37651,8.8902
2016-02-09,15.3338,15.4970,14.6215,14.7402,22984,8.4913
2016-02-10,14.6413,15.7790,14.4385,14.8392,32297,8.5483
2016-02-11,15.0370,16.6248,14.7897,15.2794,32420,8.8019
2016-02-12,15.5415,15.7592,14.9381,14.9974,26495,8.6395
2016-02-15,15.8185,15.9224,15.2695,15.4327,21318,8.8902
2016-02-16,15.1706,15.3932,14.8441,14.9875,15994,8.6338
2016-02-17,15.0420,15.6553,15.0370,15.4970,3919,8.9273
2016-02-18,15.7740,17.5795,15.7740,17.2134,16064,9.9160
2016-02-19,16.9067,17.1293,16.8227,16.8870,9082,9.7280
2016-02-22,17.1936,17.3025,16.9166,17.1194,40090,9.8619
2016-02-23,17.2579,17.5597,16.0807,16.0807,27799,9.2635
2016-02-24,16.1747,16.1747,15.6058,15.8087,5792,9.1068
2016-02-25,16.0312,17.3964,16.0312,16.7188,10454,9.6311
2016-02-26,17.0156,17.0403,16.3478,16.9166,14363,9.7451
2016-02-29,16.8177,17.3124,16.6396,17.3124,7841,9.9730
2016-03-01,17.4558,17.8020,17.2926,17.7130,22173,10.2038
2016-03-02,17.8070,17.9554,16.8177,17.1837,28131,9.8989
2016-03-03,17.2134,17.4607,16.0263,16.5803,17706,9.5513
2016-03-04,16.6100,17.2975,16.6100,17.2134,7377,9.9160
2016-03-07,17.2926,17.4607,16.8771,17.1689,11826,9.8904
2016-03-08,16.9166,17.0898,16.0560,16.1895,19671,9.3262
2016-03-09,16.5407,16.7732,16.1104,16.1153,7148,9.2835
2016-03-10,16.4022,16.5605,15.8532,16.0115,26417,9.2236
2016-03-11,16.2736,16.3725,15.8581,15.9521,14176,9.1894
2016-03-14,16.3626,16.8177,16.3231,16.8177,4690,9.6881
2016-03-15,16.6199,16.9612,16.4962,16.8078,12218,9.6824
2016-03-16,16.6594,16.9859,16.6594,16.7287,11629,9.6368
2016-03-17,16.7781,17.0452,16.3775,16.5803,22303,9.5513
2016-03-18,16.4962,16.9216,16.4962,16.9067,15033,9.7394
2016-03-21,16.5259,17.0502,15.6702,16.9216,20909,9.7479
2016-03-22,16.4220,16.7584,16.1796,16.5753,10910,9.5485
2016-03-23,16.6693,17.5992,16.1747,17.3371,52620,9.9873
2016-03-24,17.0304,17.2579,16.7336,17.0255,32165,9.8078
2016-03-29,17.1145,17.1145,16.4418,16.4418,11427,9.4715
2016-03-30,16.4269,16.6743,15.8433,16.0263,40730,9.2322
2016-03-31,16.0807,16.6693,15.8581,15.9274,29526,9.1752
2016-04-01,15.8284,16.1054,15.4624,15.6256,17753,9.0014
2016-04-04,15.8532,16.4467,15.8532,16.0510,16882,9.2464
2016-04-05,16.1252,16.1994,15.8284,16.0510,12624,9.2464
2016-04-06,16.1450,16.5704,15.9323,16.2340,18472,9.3519
2016-04-07,16.3132,16.3132,15.9521,16.0758,3194,9.2607
2016-04-08,16.2241,16.3231,16.0213,16.2687,15327,9.3718
2016-04-11,15.9818,16.2192,15.9818,16.0263,6183,9.2322
2016-04-12,15.9471,16.1203,15.9026,16.1005,5418,9.2749
2016-04-13,16.2241,16.3231,15.8779,16.2241,31973,9.3462
2016-04-14,16.1252,16.2786,16.0164,16.1104,9338,9.2806
2016-04-15,16.0510,16.2588,15.9669,15.9818,6524,9.2065
2016-04-18,16.1945,16.2390,16.0016,16.0758,6482,9.2607
2016-04-19,16.1796,16.2241,15.9323,16.1549,18469,9.3063
2016-04-20,16.1252,16.4220,16.0659,16.1796,14715,9.3205
2016-04-21,16.4764,19.0337,16.2786,18.6034,141215,10.7167
2016-04-22,18.5984,18.5984,17.8070,18.0889,21614,10.4204
2016-04-25,18.3115,18.7369,18.3115,18.5489,14210,10.6854
2016-04-26,18.7963,18.7963,18.5588,18.7963,7137,10.8279
2016-04-27,18.7963,18.9348,18.4006,18.9051,10461,10.8905
2016-04-28,18.8902,18.8902,18.4451,18.7468,25758,10.7994
2016-04-29,18.7963,19.6965,18.5984,19.6866,39184,11.3408
2016-05-02,19.6965,20.4484,19.6866,20.0823,27247,11.5687
2016-05-03,20.0823,20.0823,19.6916,19.9537,15063,11.4946
2016-05-04,19.7954,20.6759,19.3898,19.8845,51617,11.4547
2016-05-05,19.8845,20.3000,19.8795,20.0922,8073,11.5744
2016-05-06,19.9339,19.9339,19.6668,19.9339,8611,11.4832
2016-05-09,19.9834,20.4385,19.2068,19.2068,17935,11.0644
2016-05-10,19.1425,19.1920,18.5044,18.5242,14027,10.6711
2016-05-11,18.8507,19.2909,18.7221,19.2266,18734,11.0758
2016-05-12,19.2662,19.6124,19.0436,19.4888,37366,11.2268
2016-05-13,19.3156,19.4789,18.4995,18.9941,44217,10.9418
2016-05-17,18.7963,19.1870,18.7221,18.9941,8835,10.9418
2016-05-18,18.9941,18.9941,18.2126,18.8754,35123,10.8735
2016-05-19,18.7023,18.9051,18.3857,18.7963,26450,10.8279
2016-05-20,18.7963,19.2068,18.7963,19.2068,92748,11.0644
2016-05-23,18.9941,19.3453,18.9941,19.2909,44197,11.1128
2016-05-24,19.2909,19.4888,19.1920,19.4888,29051,11.2268
2016-05-25,19.4888,19.5827,19.3898,19.4888,16905,11.2268
2016-05-26,19.5877,19.7855,19.3997,19.5580,22437,11.2667
2016-05-27,19.7757,20.1318,19.6421,20.1318,42101,11.5972
2016-05-30,20.1318,20.1318,19.5085,19.8350,40642,11.4262
2016-05-31,20.2802,20.2802,19.6916,19.8498,12188,11.4348
