Date,Open,High,Low,Close,Volume,AdjClose
2001-02-12,33.5000,34.6667,33.5000,34.5000,97200,33.0251
2001-02-13,35.0000,35.4010,33.3490,33.4844,51600,32.0529
2001-02-14,33.5677,33.5677,32.1146,32.9010,24600,31.4945
2001-02-15,33.3333,33.3333,32.9323,33.2500,23400,31.8286
2001-02-16,32.4688,32.8177,32.0990,32.2500,24300,30.8713
2001-02-20,32.4167,32.4167,31.4167,31.8177,32700,30.4575
2001-02-21,31.7812,32.7500,31.4792,31.4844,58800,30.1384
2001-02-22,31.5521,31.7812,30.3333,30.3333,21000,29.0366
2001-02-23,30.6354,31.6146,30.5156,31.6146,17100,30.2631
2001-02-26,32.0677,33.3177,32.0677,33.1823,130500,31.7638
2001-02-27,33.3333,33.3333,32.2656,32.3333,61200,30.9511
2001-02-28,32.4688,33.0990,31.6823,32.3021,22200,30.9212
2001-03-01,31.9688,31.9688,30.5990,31.7344,32400,30.3777
2001-03-02,31.1979,32.6458,31.1667,31.9167,30000,30.5522
2001-03-05,32.0156,32.1823,31.3854,31.6146,45300,30.2631
2001-03-06,31.9844,32.1354,31.4167,31.5677,19500,30.2182
2001-03-07,31.5990,31.5990,30.5833,30.6823,36600,29.3706
2001-03-08,30.4323,30.4375,29.5052,29.6510,45300,28.3835
2001-03-09,29.2656,29.9688,28.8333,28.8333,36300,27.6007
2001-03-12,28.4167,28.4167,26.3333,26.3333,49500,25.2076
2001-03-13,26.5312,27.4688,26.2812,27.3021,32100,26.1349
2001-03-14,26.1667,27.9844,26.1667,26.7812,42900,25.6364
2001-03-15,27.5312,27.5312,26.8490,26.8490,21600,25.7012
2001-03-16,26.8021,26.8021,25.3177,25.3177,24000,24.2354
2001-03-19,25.5990,26.4167,25.3646,26.4167,27300,25.2874
2001-03-20,26.6667,26.6667,25.0677,25.0677,32400,23.9961
2001-03-21,25.1979,25.1979,22.9323,23.0833,72600,22.0965
2001-03-22,22.5000,22.6354,20.3333,22.6354,206700,21.6678
2001-03-23,23.1667,23.8021,22.8854,23.8021,26700,22.7845
2001-03-26,24.4323,25.3229,24.4323,24.8854,192000,23.8216
2001-03-27,25.0000,25.6510,24.7656,25.6510,48300,24.5545
2001-03-28,24.8490,25.5312,24.8490,25.0312,20700,23.9612
2001-03-29,24.9844,25.9844,24.7656,25.0052,28800,23.9362
2001-03-30,25.5990,25.6354,25.0833,25.4688,179700,24.3800
2001-04-02,25.1979,25.2188,23.8177,23.8333,612600,22.8145
2001-04-03,23.4688,23.6146,22.4167,22.5312,41700,21.5680
2001-04-04,22.6146,23.1354,22.2656,22.5312,171300,21.5680
2001-04-05,23.3333,24.3646,23.1667,24.3281,33600,23.2881
2001-04-06,23.6354,25.0156,23.6354,24.0677,117600,23.0388
2001-04-09,24.3500,24.8333,24.3500,24.7500,10500,23.6919
2001-04-10,25.1167,26.2000,25.1167,26.0667,108300,24.9523
2001-04-11,26.7667,26.7667,25.5833,25.7333,120600,24.6332
2001-04-12,25.8167,27.1000,25.8167,27.0833,105000,25.9255
2001-04-16,27.4000,27.5167,26.6667,26.6667,26100,25.5267
2001-04-17,26.1833,27.4667,26.1833,27.3667,25500,26.1967
2001-04-18,28.4333,29.6167,28.1067,29.5000,108900,28.2389
2001-04-19,29.5000,29.5000,28.8667,29.5000,61200,28.2389
2001-04-20,28.9333,28.9667,28.4000,28.7667,40800,27.5369
2001-04-23,28.3333,28.4667,27.8333,27.9833,63900,26.7870
2001-04-24,27.7333,27.8000,26.6833,26.6833,149100,25.5426
2001-04-25,26.7333,28.0833,26.7333,27.8500,143400,26.6594
2001-04-26,28.2167,28.6300,28.0000,28.0000,66900,26.8030
2001-04-27,28.7000,29.3167,28.7000,29.1333,38100,27.8879
2001-04-30,29.9000,31.0667,29.7333,30.4167,148800,29.1164
2001-05-01,30.4833,30.7833,29.7667,30.6467,209700,29.3365
2001-05-02,30.9000,30.9333,30.0833,30.6600,130800,29.3493
2001-05-03,30.0833,30.0833,29.2667,29.3167,123900,28.0634
2001-05-04,28.4333,30.4000,28.3667,30.4000,398400,29.1004
2001-05-07,30.6333,30.9500,30.4167,30.6167,48600,29.3078
2001-05-08,30.9000,30.9500,30.3000,30.7833,16500,29.4674
2001-05-09,30.5667,31.2400,30.5667,30.8167,41100,29.4993
2001-05-10,31.2000,31.2000,30.1667,30.1667,60900,28.8771
2001-05-11,30.2333,30.5500,30.0000,30.0000,14100,28.7175
2001-05-14,30.0333,30.0333,29.2333,29.3333,195600,28.0793
2001-05-15,29.5667,29.9000,29.3167,29.9000,13800,28.6218
2001-05-16,28.9167,31.1667,28.9167,30.8833,44700,29.5631
2001-05-17,31.0500,32.7067,30.9333,32.6333,99300,31.2383
2001-05-18,32.5667,32.6833,32.0833,32.6833,121200,31.2861
