Date,Open,High,Low,Close,Volume,AdjClose
2000-05-22,16.9200,17.0200,16.7000,16.8000,97650,6.9502
2000-05-23,17.1200,17.1200,16.4000,16.6000,161400,6.8674
2000-05-24,16.3000,16.9000,16.3000,16.9000,140800,6.9916
2000-05-25,16.5800,16.5800,16.0000,16.0000,622950,6.6192
2000-05-26,15.6000,15.9800,15.1000,15.8000,345000,6.5365
2000-05-29,15.5000,15.8400,15.5000,15.5000,121250,6.4124
2000-05-30,15.6800,16.2400,15.6800,16.1600,67250,6.6854
2000-05-31,16.1800,16.3800,16.1200,16.1800,60100,6.6937
2000-06-01,16.1800,16.3800,16.1200,16.1800,60100,6.6937
2000-06-02,16.2800,16.6000,16.2000,16.4000,125500,6.7847
2000-06-05,16.4000,16.7000,15.9600,16.1800,36400,6.6937
2000-06-06,16.0000,16.1000,16.0000,16.0000,31100,6.6192
2000-06-07,16.0000,16.3000,16.0000,16.0000,136400,6.6192
2000-06-08,16.1000,16.1000,15.9000,16.1000,77000,6.6606
2000-06-09,16.0000,16.1400,16.0000,16.0000,35750,6.6192
2000-06-12,16.0000,16.0000,16.0000,16.0000,0,6.6192
2000-06-13,16.1000,16.2000,16.0000,16.0400,32100,6.6358
2000-06-14,16.0200,16.3000,16.0000,16.0000,87850,6.6192
2000-06-15,15.9000,16.0200,15.8200,16.0000,86650,6.6192
2000-06-16,16.0000,16.1000,15.9600,16.1000,14500,6.6606
2000-06-19,16.0000,16.1000,15.9600,15.9800,130500,6.6109
2000-06-20,16.0600,16.0600,15.6400,15.8000,21450,6.5365
2000-06-21,15.8000,15.8000,15.6000,15.6000,11800,6.4537
2000-06-22,15.6000,15.8000,15.4200,15.8000,16000,6.5365
2000-06-23,15.9800,15.9800,15.4000,15.4000,3300,6.3710
2000-06-26,15.2000,15.2000,15.0000,15.2000,11500,6.2883
2000-06-27,15.0200,15.4000,14.8000,14.8000,47000,6.1228
2000-06-28,14.8000,14.8800,14.4400,14.7000,29100,6.0814
2000-06-29,14.6200,14.6200,14.5000,14.5000,49250,5.9987
2000-06-30,14.5000,14.9800,14.5000,14.7200,57250,6.0897
2000-07-03,14.9800,14.9800,14.7800,14.7800,78700,6.1145
2000-07-04,14.7800,14.9200,14.7000,14.9000,151000,6.1641
2000-07-05,15.0200,15.0400,15.0200,15.0400,62450,6.2221
2000-07-06,15.0000,15.0000,14.6000,14.8000,17350,6.1228
2000-07-07,15.0200,15.6000,15.0200,15.6000,42200,6.4537
2000-07-10,15.0000,15.8000,14.8000,14.8000,55000,6.1228
2000-07-11,15.3800,15.8000,15.3800,15.7600,83300,6.5199
