Date,Open,High,Low,Close,Volume,AdjClose
2002-07-30,81.1200,81.1300,81.0000,81.0100,95300,50.8714
2002-07-31,81.1700,81.3100,81.1500,81.2600,38800,51.0284
2002-08-01,81.3300,81.4500,81.3300,81.4200,86800,51.1289
2002-08-02,81.4600,81.6400,81.4000,81.5800,83400,51.2293
2002-08-05,81.6300,81.7300,81.5700,81.7100,93100,51.3110
2002-08-06,81.6100,81.6100,81.4500,81.5100,58200,51.1854
2002-08-07,81.5900,81.6900,81.5400,81.6300,127000,51.2607
2002-08-08,81.6100,81.6200,81.4700,81.5100,111800,51.1854
2002-08-09,81.4800,81.5600,81.4600,81.5300,50900,51.1979
2002-08-12,81.5100,81.5700,81.4700,81.5200,52300,51.1916
2002-08-13,81.5900,81.6800,81.4800,81.6600,36200,51.2795
2002-08-14,81.6900,81.7100,81.4600,81.4800,108700,51.1665
2002-08-15,81.3800,81.5400,81.3000,81.4100,87700,51.1226
2002-08-16,81.5400,81.5500,81.3100,81.3600,274500,51.0912
2002-08-19,81.4100,81.4300,81.3100,81.3700,36000,51.0975
2002-08-20,81.5100,81.5700,81.4600,81.5600,51400,51.2167
2002-08-21,81.4600,81.5400,81.4200,81.4900,43100,51.1727
2002-08-22,81.5000,81.5000,81.3800,81.4000,47700,51.1163
2002-08-23,81.4800,81.5200,81.4400,81.5000,60900,51.1791
2002-08-26,81.4900,81.5500,81.4500,81.4900,49700,51.1727
2002-08-27,81.4000,81.4500,81.3500,81.4300,54700,51.1351
2002-08-28,81.5100,81.5300,81.4600,81.4900,50600,51.1727
2002-08-29,81.6400,81.6400,81.5500,81.5800,53700,51.2293
2002-08-30,81.6300,81.6300,81.5200,81.6100,143800,51.2482
2002-09-03,81.6200,81.7800,81.6100,81.6700,83000,51.3695
2002-09-04,81.6700,81.7300,81.6000,81.6400,49500,51.3507
2002-09-05,81.6900,81.7300,81.6400,81.7300,49000,51.4073
2002-09-06,81.5500,81.6100,81.5300,81.5700,33700,51.3066
2002-09-09,81.5200,81.5700,81.4500,81.4600,65200,51.2374
2002-09-10,81.4400,81.5400,81.4200,81.5100,51000,51.2689
2002-09-11,81.4000,81.4600,81.3600,81.4600,24700,51.2374
2002-09-12,81.4800,81.5500,81.4600,81.5200,50100,51.2752
2002-09-13,81.5500,81.5900,81.5200,81.5800,95100,51.3129
2002-09-16,81.6100,81.6100,81.5400,81.5500,39000,51.2941
2002-09-17,81.5200,81.6200,81.4800,81.6100,28800,51.3318
2002-09-18,81.6400,81.7000,81.6000,81.6000,173700,51.3255
2002-09-19,81.7600,81.7700,81.6600,81.7700,191100,51.4324
2002-09-20,81.7400,81.7900,81.7000,81.7800,360800,51.4388
2002-09-23,81.8200,81.8500,81.7500,81.8000,263600,51.4513
2002-09-24,81.8700,81.9400,81.7800,81.8400,659400,51.4765
2002-09-25,81.7900,81.8300,81.7000,81.7600,240400,51.4262
2002-09-26,81.7600,81.8200,81.6900,81.7900,81100,51.4450
2002-09-27,81.8500,81.9600,81.8100,81.9600,136200,51.5519
2002-09-30,82.0300,82.1300,82.0000,82.0800,216900,51.6274
2002-10-01,81.9100,82.0000,81.8400,81.8600,94100,51.5644
2002-10-02,81.8900,81.9500,81.8300,81.9300,79400,51.6085
2002-10-03,81.9000,81.9700,81.8000,81.9400,196500,51.6148
