Date,Open,High,Low,Close,Volume,AdjClose
2000-06-05,48.7500,50.2500,48.1562,49.3438,296800,41.9011
2000-06-06,49.2500,50.1250,47.3125,47.3125,445600,40.1762
2000-06-07,47.8750,48.5000,46.5938,48.0938,431000,40.8397
2000-06-08,49.4062,49.4375,47.9062,48.3125,390400,41.0254
2000-06-09,49.1250,49.5000,48.5312,49.3125,195000,41.8746
2000-06-12,49.6250,49.6250,47.3125,47.4062,112400,40.2559
2000-06-13,47.5000,49.4062,46.6562,49.4062,389000,41.9542
2000-06-14,49.4062,49.4375,47.2812,47.2812,195000,40.1497
2000-06-15,47.3750,48.3438,46.6250,47.6875,217800,40.4947
2000-06-16,47.7500,48.4688,47.2812,48.0000,173800,40.7600
2000-06-19,48.1875,51.2500,47.8125,51.2500,436400,43.5198
2000-06-20,51.7500,52.8750,51.5000,52.0000,497000,44.1567
2000-06-21,51.3125,52.5938,51.2500,52.2188,371600,44.3425
2000-06-22,51.7500,51.7500,49.5000,49.6250,782800,42.1399
2000-06-23,49.6875,50.0938,48.6250,48.7500,685800,41.3969
2000-06-26,49.1875,49.6875,48.1875,48.7500,308000,41.3969
2000-06-27,49.1250,49.2188,47.1875,47.1875,472200,40.0701
2000-06-28,47.3125,48.5625,47.3125,47.4375,457000,40.2824
2000-06-29,46.8750,47.1875,45.6250,46.3438,563600,39.3536
2000-06-30,46.5000,47.4062,46.1562,47.0000,916000,39.9109
2000-07-03,46.9375,48.1250,46.8750,48.0625,105200,40.8131
2000-07-05,45.2500,45.7812,44.0625,44.3125,2724400,37.6287
2000-07-06,44.9688,46.3750,44.0625,46.1250,2786800,39.1679
2000-07-07,47.1250,48.3750,46.9062,47.6250,359800,40.4416
2000-07-10,47.7500,48.3438,47.2500,47.5625,187200,40.3885
2000-07-11,47.5000,48.5625,46.2812,46.8125,446400,39.7517
2000-07-12,47.9375,48.5938,47.2188,47.9688,229200,40.7335
2000-07-13,49.0000,49.9688,48.7188,49.1875,288200,41.7684
2000-07-14,50.1250,50.6875,49.3750,50.6875,272800,43.0422
2000-07-17,50.6875,51.5625,50.0000,51.4688,331000,43.7056
2000-07-18,50.5000,50.6562,49.0000,49.2188,434800,41.7950
2000-07-19,49.1562,49.1562,46.8750,47.4688,745000,40.3089
2000-07-20,47.7188,48.6562,46.3438,46.7188,544400,39.6720
2000-07-21,46.0312,46.2500,44.3750,44.8125,1251400,38.0533
2000-07-24,44.5000,46.3750,44.2500,44.6250,2472800,37.8941
2000-07-25,46.3125,46.4688,45.1562,46.4062,548600,39.4067
2000-07-26,44.6250,45.0625,43.2812,44.3750,1001600,37.6818
2000-07-27,42.6875,42.6875,41.0000,41.3438,1052800,35.1078
2000-07-28,41.9375,42.5000,40.1250,40.9688,2704800,34.7893
2000-07-31,41.4062,42.6875,40.4688,42.3125,429600,35.9304
2000-08-01,42.1875,42.1875,40.6875,40.9062,1313600,34.7363
2000-08-02,40.9062,42.2500,40.1875,40.5000,604000,34.3913
2000-08-03,37.6250,40.4375,37.6250,40.4375,2842000,34.3382
2000-08-04,41.4375,41.4375,38.7500,39.3438,1529600,33.4094
2000-08-07,39.2500,40.8125,38.8438,40.5000,550800,34.3913
2000-08-08,40.6250,41.0625,40.2500,40.5312,412600,34.4178
2000-08-09,42.1250,42.5625,41.5625,41.7188,719800,35.4262
2000-08-10,41.5625,41.9688,40.5625,40.7188,1133200,34.5770
2000-08-11,40.6875,41.5312,39.4062,41.3438,632200,35.1078
2000-08-14,42.1875,44.0000,41.5000,43.8750,1006000,37.2572
2000-08-15,44.2500,45.7500,44.2500,45.3125,1997200,38.4779
2000-08-16,46.2500,47.0000,46.0312,46.6250,1496800,39.5924
2000-08-17,46.5000,47.8750,46.1562,47.5312,745200,40.3620
2000-08-18,48.7500,49.4062,48.1875,48.7188,1050600,41.3704
2000-08-21,49.0938,49.3750,47.1250,47.5000,1581200,40.3355
2000-08-22,48.0000,48.6875,47.5938,47.9688,936600,40.7335
2000-08-23,47.5000,49.8750,47.1250,49.8750,889400,42.3522
2000-08-24,49.5625,49.9688,49.0312,49.6250,2990800,42.1399
2000-08-25,49.5000,49.9375,48.5938,49.0000,602600,41.6092
2000-08-28,48.8750,49.7812,48.7188,49.2500,424400,41.8215
2000-08-29,49.0625,49.2812,48.6250,48.8750,1217200,41.5031
2000-08-30,48.8438,48.8438,47.8750,48.4062,500200,41.1050
2000-08-31,48.6875,49.8125,48.3125,49.3438,1105800,41.9011
2000-09-01,50.1875,50.3438,48.6250,48.9375,1638600,41.5561
2000-09-05,48.3125,48.5000,47.3438,47.5625,708800,40.3885
2000-09-06,46.3750,46.4375,44.5312,44.5312,952800,37.8145
2000-09-07,45.1250,46.3750,44.8125,46.0000,685000,39.0617
2000-09-08,45.7500,45.7500,43.8125,43.8125,649400,37.2042
2000-09-11,43.5000,44.7188,42.6250,43.1250,681200,36.6204
2000-09-12,43.6250,44.2188,42.0000,42.0938,853800,35.7446
2000-09-13,41.1875,42.4688,41.1875,42.4375,1732800,36.0366
2000-09-14,43.5000,43.7500,42.3125,42.4062,473200,36.0100
2000-09-15,41.7500,42.4375,40.9375,41.3750,632200,35.1343
2000-09-18,41.7500,42.6875,40.2500,40.5000,300000,34.3913
2000-09-19,41.2500,43.5625,40.5938,43.5312,1573600,36.9653
2000-09-20,43.3750,44.2812,42.1875,43.8750,1064800,37.2572
2000-09-21,43.4688,43.5938,41.9688,42.1250,598600,35.7712
2000-09-22,37.5625,39.1875,37.5312,39.0625,2000600,33.1706
2000-09-25,40.1250,40.1250,36.8500,37.0050,599200,31.4234
2000-09-26,37.1500,37.8750,36.2250,36.6250,665800,31.1008
2000-09-27,37.6000,37.7250,35.7800,36.2500,1632600,30.7823
2000-09-28,36.6250,37.6000,36.2750,37.3750,1122200,31.7376
2000-09-29,36.9000,36.9000,35.4000,35.5500,711600,30.1879
2000-10-02,36.2450,36.3500,34.5050,34.7500,714000,29.5086
2000-10-03,35.2500,35.8700,33.9350,34.2250,1486000,29.0628
2000-10-04,34.4250,36.1000,34.1250,36.0000,1545200,30.5700
2000-10-05,35.2500,36.0000,34.6250,35.1000,1233000,29.8058
2000-10-06,35.1250,35.6200,33.1250,33.8500,1237400,28.7443
2000-10-09,33.6000,33.8750,31.6500,33.2500,1370000,28.2348
2000-10-10,31.8000,32.0000,29.6550,30.1700,2466400,25.6194
2000-10-11,28.8750,31.3500,28.8750,29.9750,3080800,25.4538
2000-10-12,31.3750,31.5000,29.1200,29.3000,2130400,24.8806
2000-10-13,29.4450,32.4750,29.3750,32.3750,1336000,27.4918
2000-10-16,32.0950,32.0950,30.2500,30.5250,1334000,25.9208
2000-10-17,30.2500,30.3000,28.0050,28.8650,2259400,24.5112
2000-10-18,27.5250,30.2500,26.8750,28.3000,2096800,24.0314
2000-10-19,32.0000,32.9950,30.5550,32.8750,2875600,27.9164
2000-10-20,32.4950,34.2500,32.1050,33.3750,3007600,28.3410
2000-10-23,33.9000,35.1750,33.2750,34.1500,985000,28.9991
2000-10-24,33.6250,33.6250,31.5050,31.8750,1131800,27.0672
2000-10-25,29.7500,30.7500,29.0050,29.3950,1765400,24.9613
2000-10-26,29.4000,31.0000,28.6550,30.9250,1894800,26.2605
2000-10-27,31.9950,31.9950,30.0000,30.8500,1690800,26.1968
2000-10-30,30.8750,31.7500,30.1300,31.0650,1611400,26.3794
2000-10-31,31.9950,33.4950,31.9500,32.8750,1395800,27.9164
2000-11-01,31.6950,32.5300,31.0750,31.7000,956200,26.9186
2000-11-02,32.9250,33.1400,32.1000,32.5000,865000,27.5979
2000-11-03,32.4600,32.7500,31.9000,32.2450,309800,27.3814
2000-11-06,32.7000,32.8000,32.2500,32.2500,340600,27.3857
2000-11-07,31.3000,31.4300,30.3800,30.7450,692400,26.1077
2000-11-08,30.5500,30.7000,28.1550,28.3250,1678400,24.0527
2000-11-09,27.0050,28.6000,26.7750,28.2500,769800,23.9890
2000-11-10,27.4000,27.4000,26.3050,26.5000,1135200,22.5029
2000-11-13,25.6000,28.5500,25.6000,27.6500,2118000,23.4795
2000-11-14,29.1250,29.4700,28.0000,29.2250,1358400,24.8169
2000-11-15,29.5000,31.2200,29.5000,30.5500,1043800,25.9421
2000-11-16,30.1200,30.3500,28.8800,28.9000,1256200,24.5409
2000-11-17,28.9000,29.8000,27.6550,28.8250,528000,24.4773
2000-11-20,27.8000,29.4700,27.6000,28.4500,2001400,24.1588
2000-11-21,28.5000,28.8000,27.5600,27.8450,1045800,23.6451
2000-11-22,28.2500,28.8000,27.0500,27.2500,3145000,23.1398
2000-11-24,28.3750,29.2450,27.7050,29.2450,747800,24.8339
2000-11-27,29.9500,29.9500,27.5050,27.6500,2604800,23.4795
2000-11-28,27.5050,27.9600,25.6300,25.7500,2545200,21.8661
2000-11-29,26.0500,26.6800,25.1000,26.0450,2353400,22.1166
2000-11-30,24.1500,24.5800,23.1400,24.0000,4068600,20.3800
2000-12-01,24.3750,25.0500,23.2500,23.8100,1524400,20.2187
2000-12-04,24.2500,24.7850,23.1300,23.9800,994800,20.3630
2000-12-05,24.7500,26.4950,24.7500,26.4950,3228200,22.4987
2000-12-06,26.1150,26.9800,25.1600,25.4000,1331200,21.5689
2000-12-07,24.6150,25.2500,24.2950,24.8900,847000,21.1358
2000-12-08,27.2500,27.7400,26.2500,27.6250,1542800,23.4583
2000-12-11,27.6250,29.9400,27.1500,29.6000,2652800,25.1354
2000-12-12,28.9850,29.1450,28.3250,28.6000,1477200,24.2862
2000-12-13,29.0000,29.0000,26.6250,26.6750,1555400,22.6515
2000-12-14,27.1500,27.5000,26.2850,26.3600,980200,22.3841
2000-12-15,25.3750,26.4200,25.1250,25.6500,1680600,21.7812
2000-12-18,26.3750,26.5750,25.3150,25.6250,1199200,21.7599
2000-12-19,26.0000,27.6100,25.2700,25.3000,2960800,21.4839
2000-12-20,24.5000,25.2000,23.6100,23.8000,1229400,20.2102
2000-12-21,24.3750,25.2050,23.1250,23.7500,2863200,20.1677
2000-12-22,24.7000,25.4950,24.2350,25.3750,1924800,21.5476
2000-12-26,25.7500,25.8000,24.5000,25.1000,875600,21.3141
2000-12-27,25.0000,26.4500,24.7500,26.3250,1077200,22.3543
2000-12-28,25.7500,26.3750,25.1250,25.6350,1441600,21.7684
2000-12-29,25.9350,25.9350,24.2500,24.5000,1852000,20.8046
2001-01-02,24.8750,25.1850,23.6300,24.1500,4358800,20.5074
2001-01-03,24.1500,28.2200,23.1000,28.1250,4023200,23.8828
2001-01-04,28.0000,28.6500,26.9250,27.2550,3143200,23.1441
2001-01-05,27.0050,27.3500,25.3900,25.6250,3702400,21.7599
2001-01-08,25.2500,26.1300,24.5050,25.9950,1833800,22.0741
2001-01-09,26.4500,26.4500,25.3250,25.5500,1824000,21.6962
2001-01-10,24.7950,26.9850,24.7750,26.6500,3756200,22.6303
2001-01-11,26.3950,28.4400,26.0550,28.1100,3164400,23.8701
2001-01-12,28.2500,28.7950,27.0300,27.7250,2275400,23.5432
2001-01-16,27.2550,27.3700,26.2500,26.7500,1289800,22.7152
2001-01-17,28.8750,29.4500,27.8750,28.1550,3379200,23.9083
2001-01-18,27.6000,29.9300,27.4150,29.7500,3050200,25.2627
2001-01-19,29.9000,30.4650,29.3000,29.8550,1746000,25.3519
2001-01-22,29.3000,29.9200,28.7500,29.1250,816000,24.7320
2001-01-23,28.6250,29.5500,28.2500,29.3250,1693200,24.9018
2001-01-24,29.4500,30.0650,28.9500,29.2750,1155200,24.8594
