Date,Open,High,Low,Close,Volume,AdjClose
1993-01-29,43.9688,43.9688,43.7500,43.9375,1003200,24.0535
1993-02-01,43.9688,44.2500,43.9688,44.2500,480500,24.2246
1993-02-02,44.2188,44.3750,44.1250,44.3438,201300,24.2759
1993-02-03,44.4062,44.8438,44.3750,44.8125,529400,24.5326
1993-02-04,44.9688,45.0938,44.4688,45.0000,531500,24.6352
1993-02-05,44.9688,45.0625,44.7188,44.9688,492100,24.6181
1993-02-08,44.9688,45.1250,44.9062,44.9688,596100,24.6181
1993-02-09,44.8125,44.8125,44.5625,44.6562,122100,24.4470
1993-02-10,44.6562,44.7500,44.5312,44.7188,379600,24.4812
1993-02-11,44.7812,45.1250,44.7812,44.9375,19500,24.6010
1993-02-12,44.8750,44.8750,44.5938,44.5938,42500,24.4128
1993-02-16,44.4688,44.4688,43.4062,43.4688,374800,23.7969
1993-02-17,43.4688,43.5312,43.2812,43.4375,210900,23.7798
1993-02-18,43.9375,43.9375,42.8125,43.4062,378100,23.7627
1993-02-19,43.4062,43.5625,43.3438,43.5625,34900,23.8482
1993-02-22,43.6875,43.7812,43.5625,43.7188,513600,23.9338
1993-02-23,43.8438,43.8750,43.4688,43.6875,373700,23.9167
1993-02-24,43.7188,44.2500,43.7188,44.2500,26300,24.2246
1993-02-25,44.2188,44.3750,44.1250,44.3438,44500,24.2759
1993-02-26,44.4375,44.4375,44.1875,44.4062,66200,24.3101
1993-03-01,44.5625,44.5625,44.2188,44.2812,66500,24.2417
1993-03-02,44.3125,44.9375,44.2500,44.9375,182400,24.6010
1993-03-03,45.0000,45.1562,44.9375,45.1250,280100,24.7036
1993-03-04,45.1875,45.1875,44.8750,44.8750,89500,24.5668
1993-03-05,44.9375,45.1250,44.7188,44.7500,40000,24.4983
1993-03-08,44.8438,45.7500,44.8438,45.7500,50800,25.0458
1993-03-09,45.6562,45.6875,45.5000,45.5938,169300,24.9603
1993-03-10,45.5938,45.6875,45.4062,45.6875,194400,25.0116
1993-03-11,45.7188,45.8438,45.5000,45.5625,70900,24.9431
1993-03-12,45.1875,45.2188,44.8125,45.0938,643600,24.6865
1993-03-15,45.0625,45.3125,45.0625,45.3125,310800,24.8063
1993-03-16,45.3125,45.4375,45.3125,45.3125,30800,24.8063
1993-03-17,45.2500,45.2500,44.9688,45.0312,21800,24.6523
1993-03-18,45.2188,45.5000,45.2188,45.3125,59300,24.8063
1993-03-19,45.2812,45.2812,45.0312,45.0312,66900,24.7687
1993-03-22,44.5938,44.8750,44.5625,44.7812,183400,24.6312
1993-03-23,44.9062,44.9375,44.8125,44.8750,55200,24.6828
1993-03-24,44.8125,45.0625,44.5938,44.8750,37200,24.6828
1993-03-25,44.9062,45.2500,44.8438,45.1562,110100,24.8375
1993-03-26,45.1250,45.1562,44.8750,44.9062,101500,24.7000
1993-03-29,44.9375,45.3125,44.9375,45.0938,87100,24.8031
1993-03-30,45.1562,45.2188,45.0938,45.2188,56000,24.8719
1993-03-31,45.3438,45.4688,45.1875,45.1875,111600,24.8547
1993-04-01,45.2500,45.2500,44.9375,45.0312,129500,24.7687
1993-04-02,44.6562,44.6562,44.0938,44.0938,59400,24.2531
1993-04-05,44.4375,44.4375,44.1875,44.3125,172200,24.3734
1993-04-06,44.4062,44.4062,44.0625,44.1875,129700,24.3047
1993-04-07,44.2500,44.3438,44.1562,44.3438,28000,24.3906
1993-04-08,44.5312,44.5312,44.0938,44.2812,180800,24.3562
1993-04-12,44.7188,44.9375,44.6562,44.9062,348500,24.7000
1993-04-13,44.8750,45.1562,44.8438,45.0000,146100,24.7515
1993-04-14,45.0312,45.0625,44.9062,44.9375,119600,24.7172
1993-04-15,44.9062,45.0312,44.7500,44.9375,148600,24.7172
1993-04-16,44.9688,45.0312,44.8750,44.9375,47900,24.7172
1993-04-19,44.9375,45.0625,44.7188,44.7500,157000,24.6140
1993-04-20,44.6875,44.7500,44.2500,44.5312,279500,24.4937
1993-04-21,44.6250,44.6250,44.3750,44.5000,67900,24.4765
1993-04-22,44.3125,44.6875,43.9375,43.9375,97700,24.1671
1993-04-23,43.8438,43.9688,43.6875,43.7500,106000,24.0640
1993-04-26,43.7812,43.9375,43.2812,43.4062,62600,23.8749
1993-04-27,43.3438,43.8750,43.3438,43.8750,156800,24.1327
1993-04-28,43.8125,43.9062,43.7188,43.7812,85900,24.0812
1993-04-29,43.8750,43.9688,43.6250,43.9688,85000,24.1843
1993-04-30,44.1250,44.2812,44.0312,44.0312,88500,24.2187
1993-05-03,44.0938,44.3125,43.9062,44.3125,80500,24.3734
1993-05-04,44.4062,44.6250,44.3438,44.4688,149100,24.4593
1993-05-05,44.4688,44.7500,44.4688,44.5938,109000,24.5281
1993-05-06,44.5312,44.5625,44.4062,44.4375,54700,24.4421
1993-05-07,44.4688,44.4688,44.2812,44.3438,68000,24.3906
1993-05-10,44.4062,44.6875,44.4062,44.4375,113900,24.4421
1993-05-11,44.4375,44.6250,44.3125,44.6250,42600,24.5453
1993-05-12,44.4375,44.5938,44.4375,44.5625,31000,24.5109
1993-05-13,44.3750,44.3750,44.0000,44.0312,129100,24.2187
1993-05-14,44.0312,44.1562,43.9688,44.0000,63500,24.2015
1993-05-17,44.1250,44.1562,43.9375,44.1562,34000,24.2875
1993-05-18,44.1875,44.2188,43.9688,44.1250,105200,24.2703
1993-05-19,44.1250,45.0312,43.8438,45.0312,50200,24.7687
1993-05-20,45.0312,45.1562,44.9375,45.1562,98200,24.8375
1993-05-21,45.1875,45.2500,44.7188,44.7500,221400,24.6140
1993-05-24,44.8438,45.0938,44.8438,44.9375,30500,24.7172
1993-05-25,45.1250,45.1250,45.0312,45.0312,191800,24.7687
1993-05-26,45.1562,45.6250,45.1250,45.5938,102400,25.0781
1993-05-27,45.6562,45.6562,45.3750,45.4375,53800,24.9922
1993-05-28,45.4062,45.4062,45.0000,45.2188,79100,24.8719
1993-06-01,45.3750,45.8125,45.3125,45.6562,28300,25.1125
1993-06-02,45.5312,45.7500,45.3438,45.5938,20300,25.0781
1993-06-03,45.5000,45.5000,45.3438,45.4375,21600,24.9922
1993-06-04,45.3125,45.3125,45.0938,45.2812,32000,24.9062
1993-06-07,45.3750,45.3750,45.1250,45.1250,121400,24.8203
1993-06-08,45.0000,45.0000,44.7188,44.7188,104500,24.5968
1993-06-09,44.8750,45.0625,44.8125,44.8750,43300,24.6828
1993-06-10,44.8438,44.9375,44.7500,44.9062,17900,24.7000
1993-06-11,45.0625,45.1562,44.9062,45.0938,647400,24.8031
1993-06-14,45.1562,45.1875,45.0312,45.0312,64200,24.7687
1993-06-15,45.0938,45.1250,44.9375,44.9375,142400,24.7172
1993-06-16,44.9375,45.0312,44.8125,45.0312,330900,24.7687
1993-06-17,45.1250,45.1875,45.0312,45.1875,37400,24.8547
1993-06-18,44.8438,44.8438,44.5000,44.5000,58500,24.6500
1993-06-21,44.6250,44.6250,44.5312,44.5938,29300,24.7019
1993-06-22,44.6562,44.6562,44.5625,44.6250,137500,24.7192
1993-06-23,44.6250,44.6250,44.2188,44.2188,227600,24.4942
1993-06-24,44.3438,44.8125,44.3438,44.8125,243700,24.8231
1993-06-25,44.7812,44.9062,44.7500,44.7812,44800,24.8058
1993-06-28,45.0000,45.2812,44.9375,45.2812,439900,25.0828
1993-06-29,45.2188,45.2188,45.0000,45.0625,207500,24.9616
1993-06-30,45.1250,45.2188,45.0000,45.0625,437600,24.9616
1993-07-01,45.1250,45.1250,44.8750,44.9375,605700,24.8923
1993-07-02,44.7812,44.8125,44.5312,44.6875,285400,24.7539
1993-07-06,44.6250,44.7500,44.1562,44.2188,246400,24.4942
1993-07-07,44.1875,44.4062,44.1875,44.3438,343700,24.5635
1993-07-08,44.3750,44.9375,44.3125,44.8438,248200,24.8404
1993-07-09,44.8438,44.9688,44.7500,44.9688,378200,24.9097
1993-07-12,44.9062,44.9688,44.8438,44.9375,373700,24.8923
1993-07-13,44.9688,45.0938,44.6562,44.9062,389600,24.8750
1993-07-14,44.9375,45.1875,44.9062,45.0625,617300,24.9616
1993-07-15,45.0312,45.0312,44.7812,44.8750,443800,24.8577
1993-07-16,44.9062,44.9375,44.6875,44.7500,216400,24.7885
1993-07-19,44.7500,44.7500,44.5938,44.7188,188200,24.7712
1993-07-20,44.6875,44.8438,44.4688,44.8438,68500,24.8404
1993-07-21,44.7812,44.8125,44.6562,44.8125,142700,24.8231
1993-07-22,44.7500,44.8125,44.5000,44.5000,632400,24.6500
1993-07-23,44.5938,44.7188,44.5625,44.7188,286200,24.7712
1993-07-26,44.8438,45.0625,44.8438,44.9688,121300,24.9097
1993-07-27,45.0000,45.0312,44.7812,44.9375,92800,24.8923
1993-07-28,44.8438,44.9375,44.7812,44.8438,30800,24.8404
1993-07-29,44.9375,45.2188,44.8750,45.0938,331000,24.9789
1993-07-30,45.0938,45.0938,44.7812,44.8438,75300,24.8404
1993-08-02,44.9062,45.1250,44.9062,44.9688,41300,24.9097
1993-08-03,45.0625,45.1875,44.8438,45.0000,81600,24.9270
1993-08-04,45.0000,45.0938,44.8750,45.0000,434000,24.9270
1993-08-05,45.0000,45.0000,44.8438,44.9062,36800,24.8750
1993-08-06,45.0312,45.0625,44.9062,44.9688,402300,24.9097
1993-08-09,45.0938,45.3438,45.0000,45.2188,828200,25.0481
1993-08-10,45.1875,45.2188,45.1250,45.1875,604900,25.0308
1993-08-11,45.1562,45.3125,45.1562,45.1875,542200,25.0308
1993-08-12,45.3125,45.3125,44.9062,45.0625,303700,24.9616
1993-08-13,45.0938,45.1562,45.0938,45.1250,103500,24.9962
1993-08-16,45.1562,45.5000,45.1562,45.3750,241800,25.1347
1993-08-17,45.3438,45.5312,45.3438,45.5312,369300,25.2212
1993-08-18,45.6875,45.8750,45.6562,45.7812,414300,25.3597
1993-08-19,45.8125,45.8125,45.7188,45.7812,28500,25.3597
1993-08-20,45.6875,45.8125,45.6562,45.8125,80700,25.3770
1993-08-23,45.6250,45.7500,45.6250,45.7188,15600,25.3251
1993-08-24,45.7188,46.2188,45.7188,46.2188,273400,25.6021
1993-08-25,46.2188,46.4375,46.1562,46.2500,242300,25.6194
1993-08-26,46.2812,46.5312,46.0938,46.2812,120000,25.6367
1993-08-27,46.1562,46.2500,46.1562,46.2500,25700,25.6194
1993-08-30,46.2812,46.5000,46.2812,46.4375,183500,25.7233
1993-08-31,46.4062,46.5625,46.3438,46.5625,66500,25.7925
1993-09-01,46.4062,46.5938,46.4062,46.5000,136500,25.7579
1993-09-02,46.5312,46.5938,46.3125,46.3438,472400,25.6713
1993-09-03,46.3125,46.4375,46.2500,46.3750,630500,25.6886
1993-09-07,46.3750,46.4375,46.0000,46.0625,196400,25.5155
1993-09-08,46.0625,46.0625,45.5938,45.9062,269900,25.4289
1993-09-09,45.7188,46.0312,45.7188,46.0000,239200,25.4809
1993-09-10,46.1250,46.4375,46.0625,46.4062,106500,25.7059
1993-09-13,46.5625,46.5625,46.4375,46.4375,66900,25.7233
1993-09-14,46.3125,46.3125,46.0938,46.2500,184500,25.6194
1993-09-15,46.0625,46.4062,45.9062,46.3750,101000,25.6886
1993-09-16,46.3125,46.3438,46.1562,46.1875,54300,25.5848
1993-09-17,45.8750,45.9062,45.7500,45.8125,200900,25.5352
1993-09-20,45.8750,45.9688,45.4375,45.4375,57800,25.3261
1993-09-21,45.5000,45.5625,44.8125,45.2812,318200,25.2391
1993-09-22,45.4375,45.7188,45.3750,45.6562,439700,25.4481
1993-09-23,45.7812,45.9375,45.7188,45.9062,88500,25.5874
1993-09-24,45.8438,45.8750,45.7188,45.7812,53500,25.5177
1993-09-27,46.1250,46.2812,46.1250,46.2812,274600,25.7964
1993-09-28,46.3125,46.3125,46.1562,46.1875,158300,25.7442
1993-09-29,46.1875,46.3125,45.9688,46.0312,221000,25.6571
1993-09-30,46.0312,46.1250,45.8438,45.9375,99300,25.6048
1993-10-01,45.8750,46.2188,45.8125,46.1562,22700,25.7268
1993-10-04,46.2188,46.2188,46.0938,46.2188,1038500,25.7616
1993-10-05,46.3125,46.3125,46.0000,46.1562,436500,25.7268
1993-10-06,46.1875,46.3750,46.1250,46.1250,209200,25.7093
1993-10-07,46.1875,46.1875,45.9688,46.0000,59400,25.6396
1993-10-08,46.1250,46.1562,45.7188,46.0625,54400,25.6745
1993-10-11,46.1562,46.2500,46.1562,46.1562,467100,25.7268
1993-10-12,46.2188,46.2500,46.1875,46.2188,26200,25.7616
1993-10-13,46.2500,46.2500,46.1562,46.2188,139100,25.7616
1993-10-14,46.4062,46.8125,46.2812,46.8125,108100,26.0926
1993-10-15,47.0312,47.1562,46.9062,47.0625,1502500,26.2319
1993-10-18,47.0312,47.0312,46.8750,46.9375,722400,26.1622
1993-10-19,46.8750,46.9688,46.5938,46.5938,880100,25.9706
1993-10-20,46.7500,46.7500,46.5625,46.6562,230400,26.0054
