Date,Open,High,Low,Close,Volume,AdjClose
2007-04-18,6451.2002,6517.7598,6403.8398,6498.5601,327,6498.5601
2007-04-19,6438.3999,6513.9199,6412.7998,6471.6802,742,6471.6802
2007-04-20,6411.5200,6411.5200,6336.0000,6341.1201,524,6341.1201
2007-04-23,6344.9600,6553.6001,6297.6001,6528.0000,1067,6528.0000
2007-04-24,6630.3999,6630.3999,6460.1602,6539.5200,998,6539.5200
2007-04-25,6590.7202,6606.0801,6497.2798,6599.6802,795,6599.6802
2007-04-26,6547.2002,6547.2002,6405.1201,6452.4800,1090,6452.4800
2007-04-27,6419.2002,6698.2402,6396.1602,6661.1201,1328,6661.1201
2007-04-30,6576.6401,6705.9199,6557.4399,6657.2798,770,6657.2798
2007-05-01,6607.3599,6658.5601,6528.0000,6553.6001,1030,6553.6001
2007-05-02,6590.7202,6609.9199,6535.6802,6560.0000,529,6560.0000
2007-05-03,6540.7998,6778.8799,6411.5200,6736.6401,2842,6736.6401
2007-05-04,6740.4800,6873.6001,6656.0000,6696.9600,1492,6696.9600
2007-05-07,6624.0000,6667.5200,6590.7202,6611.2002,792,6611.2002
2007-05-08,6549.7598,6549.7598,6464.0000,6503.6802,780,6503.6802
2007-05-09,6508.7998,6588.1602,6483.2002,6588.1602,1684,6588.1602
2007-05-10,6585.6001,6612.4800,6496.0000,6566.3999,774,6566.3999
2007-05-11,6526.7202,6743.0400,6508.7998,6720.0000,897,6720.0000
2007-05-14,6745.6001,6890.2402,6735.3599,6757.1201,877,6757.1201
2007-05-15,6752.0000,6752.0000,6667.5200,6677.7598,406,6677.7598
2007-05-16,6598.3999,6745.6001,6598.3999,6732.7998,347,6732.7998
2007-05-17,6718.7202,6890.2402,6688.0000,6867.2002,1156,6867.2002
2007-05-18,6937.6001,6999.0400,6730.2402,6743.0400,1109,6743.0400
2007-05-21,6726.3999,6773.7598,6662.3999,6754.5601,1002,6754.5601
2007-05-22,6717.4399,6723.8398,6656.0000,6673.9199,832,6673.9199
2007-05-23,6656.0000,6705.9199,6611.2002,6613.7598,770,6613.7598
2007-05-24,6643.2002,6643.2002,6526.7202,6561.2798,401,6561.2798
2007-05-25,6565.1201,6565.1201,6407.6802,6487.0400,784,6487.0400
2007-05-29,6472.9600,6485.7598,6368.0000,6465.2798,895,6465.2798
2007-05-30,6554.8799,6656.0000,6530.5601,6635.5200,798,6635.5200
2007-05-31,6608.6401,6647.0400,6519.0400,6622.7202,969,6622.7202
2007-06-01,6589.4399,6615.0400,6504.9600,6574.0801,1085,6574.0801
2007-06-04,6643.2002,6910.7202,6643.2002,6819.8398,1066,6819.8398
2007-06-05,6795.5200,6808.3198,6694.3999,6713.6001,1923,6713.6001
2007-06-06,6799.3599,6807.0400,6682.8799,6771.2002,1134,6771.2002
2007-06-07,6730.2402,6776.3198,6503.6802,6515.2002,2791,6515.2002
2007-06-08,6466.5601,6488.3198,6391.0400,6410.2402,973,6410.2402
2007-06-11,6400.0000,6432.0000,6347.5200,6368.0000,1605,6368.0000
2007-06-12,6384.6401,6434.5601,6360.3198,6433.2798,876,6433.2798
2007-06-13,6462.7202,6469.1201,6324.4800,6361.6001,898,6361.6001
2007-06-14,6398.7202,6528.0000,6352.6401,6503.6802,921,6503.6802
2007-06-15,6503.6802,6681.6001,6503.6802,6607.3599,780,6607.3599
2007-06-18,6592.0000,6607.3599,6401.2798,6401.2798,1087,6401.2798
2007-06-19,6389.7598,6396.1602,6272.0000,6304.0000,1430,6304.0000
2007-06-20,6286.0801,6307.8398,6119.6802,6173.4399,1552,6173.4399
2007-06-21,6170.8799,6251.5200,6118.3999,6146.5601,2016,6146.5601
2007-06-22,6074.8799,6074.8799,5893.1201,5932.7998,2127,5932.7998
2007-06-25,5818.8799,5889.2798,5802.2402,5815.0400,1052,5815.0400
2007-06-26,5861.1201,5861.1201,5729.2798,5748.4800,891,5748.4800
2007-06-27,5708.7998,5832.9600,5706.2402,5817.6001,1039,5817.6001
2007-06-28,5818.8799,5818.8799,5382.3999,5493.7598,7242,5493.7598
2007-06-29,5542.3999,5664.0000,5466.8799,5664.0000,2127,5664.0000
2007-07-02,5452.7998,5585.9199,5391.3599,5561.6001,2354,5561.6001
2007-07-03,5587.2002,5603.8398,5501.4399,5518.0801,1692,5518.0801
2007-07-05,5492.4800,5532.1602,5393.9199,5434.8799,1488,5434.8799
2007-07-06,5425.9199,5436.1602,5232.6401,5320.9600,3863,5320.9600
2007-07-09,5419.5200,5442.5601,5260.7998,5278.7202,2475,5278.7202
2007-07-10,5350.3999,5548.7998,5320.9600,5493.7598,3302,5493.7598
2007-07-11,5568.0000,5625.6001,5418.2402,5420.7998,5515,5420.7998
