Date,Open,High,Low,Close,Volume,AdjClose
2006-04-10,546.0000,548.0000,541.3600,544.1600,484738,544.1600
2006-04-11,546.5600,547.1200,538.4000,545.6000,162138,545.6000
2006-04-12,545.7600,550.4800,542.4800,542.7200,156038,542.7200
2006-04-13,540.0000,551.9200,539.2000,550.5600,70088,550.5600
2006-04-17,553.6000,559.2000,549.4400,558.3200,114713,558.3200
2006-04-18,560.8000,568.4000,556.5600,566.0000,115338,566.0000
2006-04-19,564.6400,577.2800,563.9200,574.8000,98725,574.8000
2006-04-20,575.3600,577.2800,564.0800,568.7200,105400,568.7200
2006-04-21,567.1200,585.8400,566.4000,582.4800,133225,582.4800
2006-04-24,571.2000,579.6000,566.3200,568.0800,130288,568.0800
2006-04-25,573.4400,574.4800,556.9600,565.1200,356738,565.1200
2006-04-26,563.5200,566.8000,555.6000,556.3200,112400,556.3200
2006-04-27,552.8000,556.6400,548.5600,549.6000,79450,549.6000
2006-04-28,554.0800,564.0000,551.9200,556.9600,108513,556.9600
2006-05-01,561.2000,573.2000,560.0000,572.0000,69438,572.0000
2006-05-02,574.7200,581.5200,570.7200,578.7200,108875,578.7200
2006-05-03,579.8400,579.8400,560.0000,561.7600,126875,561.7600
2006-05-04,554.9600,558.1600,538.2400,546.5600,194688,546.5600
2006-05-05,546.4000,547.7600,541.4400,544.0000,83900,544.0000
2006-05-08,537.0400,543.9200,530.4000,543.0400,164038,543.0400
2006-05-09,543.9200,553.4400,542.0800,547.2000,97875,547.2000
2006-05-10,546.5600,558.1600,539.8400,558.1600,88063,558.1600
2006-05-11,568.0000,568.4000,559.3600,562.4000,129438,562.4000
2006-05-12,563.5200,563.5200,552.3200,552.8800,75950,552.8800
2006-05-15,539.7600,542.1600,531.6000,533.0400,83738,533.0400
2006-05-16,536.5600,543.2000,530.4800,533.6000,100250,533.6000
2006-05-17,533.3600,534.0000,523.1200,525.6000,102838,525.6000
2006-05-18,525.4400,534.3200,520.8000,533.9200,82088,533.9200
2006-05-19,528.0000,531.6800,521.2000,524.5600,101513,524.5600
2006-05-22,519.1200,532.5600,519.1200,530.2400,96213,530.2400
2006-05-23,538.0000,547.3600,537.6800,542.1600,78863,542.1600
2006-05-24,537.6800,543.4400,528.4000,528.8000,50088,528.8000
2006-05-25,533.4400,543.0400,530.4800,542.4000,37538,542.4000
