Date,Open,High,Low,Close,Volume,AdjClose
1998-12-22,10.3906,10.4141,10.3750,10.4141,3800,5.6706
1998-12-23,10.4844,10.5703,10.4844,10.5234,1400,5.7302
1998-12-24,10.6484,10.7656,10.6016,10.7656,3000,5.8621
1998-12-28,10.7500,10.7500,10.6562,10.6719,5000,5.8110
1998-12-29,10.8672,10.8672,10.8672,10.8672,200,5.9174
1998-12-30,10.8594,10.8594,10.8359,10.8359,1600,5.9004
1998-12-31,10.9297,11.0000,10.9297,10.9609,6600,5.9684
1999-01-04,10.9688,11.1250,10.8281,10.8281,26000,5.8961
1999-01-05,10.9297,11.1484,10.9297,11.0938,8800,6.0407
1999-01-06,11.1641,11.2891,11.1094,11.2891,25800,6.1471
1999-01-07,11.2344,11.6953,11.1641,11.2031,172400,6.1003
1999-01-08,11.3047,11.5859,11.3047,11.5859,50400,6.3088
1999-01-11,11.5938,11.6094,11.5000,11.6094,28400,6.3215
1999-01-12,11.5078,11.5625,11.2891,11.3125,10200,6.1599
1999-01-13,10.9766,11.1875,10.9766,11.0625,11000,6.0237
1999-01-14,11.0938,11.1094,10.7812,10.8750,254600,5.9216
1999-01-15,11.0000,11.0391,10.9453,11.0391,31600,6.0110
1999-01-19,11.0000,11.0000,10.7578,10.8359,53400,5.9004
1999-01-20,10.8359,10.9141,10.7891,10.7969,81800,5.8791
1999-01-21,10.7969,10.8125,10.6953,10.7500,119800,5.8536
1999-01-22,10.6406,10.6797,10.5234,10.5391,14000,5.7387
1999-01-25,10.6484,10.7500,10.6094,10.7500,58600,5.8536
1999-01-26,10.7109,10.7188,10.5938,10.7188,3600,5.8366
1999-01-27,10.9141,10.9141,10.6328,10.6328,30200,5.7898
1999-01-28,10.6953,10.6953,10.5000,10.5000,13600,5.7174
1999-01-29,10.4766,10.5547,10.4766,10.5547,800,5.7472
1999-02-01,10.6406,10.7500,10.6406,10.6406,5800,5.7940
1999-02-02,10.6016,10.6875,10.5938,10.6484,5600,5.7983
1999-02-03,10.6562,10.6953,10.6250,10.6562,2200,5.8025
1999-02-04,10.6797,11.0078,10.6797,10.9688,13600,5.9727
1999-02-05,11.0234,11.2188,11.0234,11.1172,88800,6.0535
1999-02-08,11.1484,11.1797,11.0156,11.0625,44600,6.0237
1999-02-09,11.0625,11.0625,10.8516,10.8516,28400,5.9089
1999-02-10,10.9297,10.9297,10.8281,10.8750,9800,5.9216
1999-02-11,10.8125,10.9141,10.7656,10.7656,20200,5.8621
1999-02-12,10.7812,10.8125,10.7109,10.7109,5000,5.8323
1999-02-16,10.9141,10.9141,10.6094,10.6094,12600,5.7770
1999-02-17,10.5625,10.7109,10.5000,10.5000,10200,5.7174
1999-02-18,10.5234,10.5938,10.4609,10.5781,62000,5.7600
1999-02-19,10.6172,10.6797,10.5938,10.6641,16200,5.8068
1999-02-22,10.6250,10.8750,10.6250,10.8438,20000,5.9046
1999-02-23,10.8672,10.8750,10.6875,10.7500,10600,5.8536
1999-02-24,10.9062,10.9062,10.7188,10.7188,5600,5.8366
1999-02-25,10.6562,10.7188,10.6250,10.7188,13600,5.8366
1999-02-26,10.7188,10.7188,10.7188,10.7188,1400,5.8366
1999-03-01,10.6406,10.6484,10.5938,10.5938,4200,5.7685
1999-03-02,10.6172,10.7188,10.5000,10.5000,95400,5.7174
1999-03-03,10.6328,10.6328,10.4297,10.4297,7800,5.6792
1999-03-04,10.4219,10.5625,10.4219,10.4609,5800,5.6962
1999-03-05,10.5859,10.8125,10.5859,10.8125,8400,5.8876
1999-03-08,10.7188,10.8828,10.7188,10.8828,13400,5.9259
1999-03-09,10.8281,10.8281,10.7500,10.7891,11200,5.8748
1999-03-10,10.7969,10.9844,10.7734,10.9375,53600,5.9557
1999-03-11,10.9922,11.1094,10.9688,11.0547,27800,6.0195
1999-03-12,11.1484,11.1797,11.0078,11.0078,15800,5.9940
1999-03-15,11.0078,11.0781,10.9531,11.0312,13400,6.0067
1999-03-16,11.0156,11.0469,10.9766,10.9844,15000,5.9812
1999-03-17,11.0391,11.0391,10.9375,10.9531,7000,5.9642
1999-03-18,11.0703,11.1875,11.0078,11.1875,22600,6.0918
1999-03-19,11.3125,11.3125,11.1641,11.1641,10600,6.0995
1999-03-22,11.1172,11.2344,11.1172,11.1953,49800,6.1166
1999-03-23,11.1406,11.1406,10.8516,10.9141,33400,5.9629
1999-03-24,10.8672,11.0000,10.8438,10.9219,152000,5.9672
1999-03-25,10.9219,11.0625,10.9219,10.9609,7600,5.9885
1999-03-26,10.8516,10.9531,10.8125,10.8750,8400,5.9415
1999-03-29,10.9922,11.1094,10.9609,11.0547,10600,6.0397
1999-03-30,11.0469,11.0469,10.9219,11.0312,33000,6.0269
1999-03-31,10.9688,11.0234,10.8594,10.8750,21200,5.9415
1999-04-01,10.8906,11.0859,10.8906,11.0000,24600,6.0098
1999-04-05,11.0312,11.2109,11.0312,11.1328,23800,6.0824
1999-04-06,11.0703,11.1328,10.9375,10.9375,105600,5.9757
1999-04-07,11.0000,11.0938,10.9688,11.0547,90400,6.0397
1999-04-08,11.0391,11.2109,11.0234,11.2109,24000,6.1251
1999-04-09,11.0469,11.2266,11.0469,11.1562,50200,6.0952
1999-04-12,11.1562,11.5078,11.1562,11.4844,32400,6.2745
1999-04-13,11.5703,11.6484,11.5078,11.6250,136000,6.3513
1999-04-14,11.7031,12.4609,11.6250,12.1875,601400,6.6586
1999-04-15,12.3438,12.9297,12.3438,12.6562,2011000,6.9147
1999-04-16,12.7344,12.9453,12.6875,12.7969,341600,6.9916
1999-04-19,12.7969,13.4219,12.7969,12.9297,1728400,7.0641
1999-04-20,12.9609,12.9688,12.7266,12.7734,281600,6.9788
1999-04-21,12.8594,12.9219,12.7109,12.8281,166400,7.0086
1999-04-22,12.8438,12.8594,12.5000,12.6250,173800,6.8977
1999-04-23,12.5625,12.8438,12.5625,12.8125,254800,7.0001
1999-04-26,12.8750,12.8750,12.6484,12.6875,76200,6.9318
1999-04-27,12.6562,13.0000,12.5938,12.9375,169000,7.0684
1999-04-28,13.0000,13.6875,13.0000,13.6250,276400,7.4440
1999-04-29,13.6562,13.8984,13.6562,13.7266,1467200,7.4995
1999-04-30,13.7188,13.8125,13.3828,13.5625,1055400,7.4099
1999-05-03,13.6094,13.9219,13.5625,13.8750,362000,7.5806
1999-05-04,13.9609,14.0078,13.6953,13.7891,831400,7.5336
1999-05-05,13.8203,14.0156,13.6641,13.9531,587800,7.6233
1999-05-06,13.9531,14.1250,13.8438,14.0703,279200,7.6873
1999-05-07,14.0703,14.1562,13.8828,14.1016,64200,7.7044
1999-05-10,14.1016,14.2422,13.9766,14.0234,169200,7.6617
1999-05-11,14.0703,14.1094,13.8438,14.0000,305600,7.6489
1999-05-12,13.9609,13.9609,13.5234,13.6484,334600,7.4568
1999-05-13,13.5547,13.7031,13.5156,13.5938,253800,7.4269
1999-05-14,13.5781,13.7422,13.5234,13.5547,73600,7.4056
1999-05-17,13.5547,13.6328,13.4062,13.5391,47200,7.3971
1999-05-18,13.4844,13.4922,13.1016,13.2109,106200,7.2178
1999-05-19,13.2109,13.4141,13.1719,13.3438,110800,7.2903
1999-05-20,13.3984,13.4531,13.1719,13.1875,73000,7.2050
1999-05-21,13.1250,13.2969,13.0938,13.1797,20600,7.2007
1999-05-24,13.1953,13.4453,13.0625,13.1250,70000,7.1708
1999-05-25,13.2422,13.3203,13.0000,13.0000,246800,7.1025
1999-05-26,12.7891,12.9453,12.7500,12.8750,92800,7.0343
1999-05-27,12.7891,12.8438,12.5000,12.5781,70200,6.8721
1999-05-28,12.5234,12.6250,12.3281,12.3281,98800,6.7355
1999-06-01,12.4531,12.9531,12.4297,12.8594,431800,7.0257
1999-06-02,12.8906,12.8906,12.6875,12.8438,23400,7.0172
1999-06-03,12.8125,12.9453,12.7578,12.8828,115200,7.0385
1999-06-04,12.8828,13.1719,12.8125,13.1250,11000,7.1708
1999-06-07,13.1875,13.2812,13.1250,13.1641,27800,7.1922
1999-06-08,13.1016,13.2031,12.9531,13.0000,89400,7.1025
1999-06-09,13.0234,13.2031,12.8750,12.8750,180600,7.0343
1999-06-10,12.8906,13.0938,12.8906,13.0938,119800,7.1538
1999-06-11,13.1562,13.2422,12.9766,12.9766,6800,7.0897
1999-06-14,13.1562,13.4219,13.1562,13.2891,445800,7.2605
1999-06-15,13.3750,13.5078,13.3203,13.4062,125400,7.3245
1999-06-16,13.4688,13.4688,13.2500,13.4609,201400,7.3544
