Date,Open,High,Low,Close,Volume,AdjClose
2018-06-19,49.7000,50.0600,49.5800,49.9600,16600,46.0523
2018-06-20,50.4500,50.8890,50.4500,50.5800,190000,46.6238
2018-06-21,50.7700,50.8500,50.2000,50.2700,428700,46.3381
2018-06-22,50.5900,50.6100,50.1900,50.4900,181500,46.5409
2018-06-25,50.2300,50.2300,49.0150,49.4500,2509600,45.5822
2018-06-26,49.7200,49.7800,49.3500,49.5320,104000,45.6578
2018-06-27,49.8200,50.0000,49.1000,49.1000,144900,45.2596
2018-06-28,49.1000,49.7900,48.9700,49.5900,336500,45.7113
2018-06-29,49.8000,49.8400,49.4200,49.5300,152300,45.6560
2018-07-02,49.1100,49.8400,48.9400,49.8400,321300,45.9417
2018-07-03,50.0000,50.0000,49.1890,49.2300,97500,45.3794
2018-07-05,49.5900,50.0000,49.3300,49.9800,324900,46.0708
2018-07-06,50.1400,50.8160,49.9300,50.7700,199800,46.7990
2018-07-09,51.2000,51.2000,50.6500,51.0600,118100,47.0663
2018-07-10,51.2100,51.2100,50.8700,51.0390,1153200,47.0469
2018-07-11,50.7000,51.2300,50.6500,50.9700,227500,46.9833
2018-07-12,51.3000,51.7700,51.1400,51.7700,361400,47.7208
2018-07-13,51.7800,51.8000,51.4490,51.6900,80100,47.6470
2018-07-16,51.7800,51.7800,51.4500,51.5400,200700,47.5088
2018-07-17,50.8100,51.6800,50.7200,51.5500,172600,47.5180
2018-07-18,51.5900,51.6000,51.2300,51.4000,147800,47.3797
2018-07-19,51.4300,51.4700,51.0060,51.0400,258400,47.0479
2018-07-20,51.0500,51.1860,50.8400,50.8700,158400,46.8912
2018-07-23,50.9300,51.1000,50.6500,51.0800,94800,47.0847
2018-07-24,52.1100,52.1100,51.1600,51.4400,211200,47.4166
2018-07-25,51.5300,51.8750,51.3800,51.8100,604300,47.7576
2018-07-26,49.7500,50.0200,49.5700,49.8560,833400,45.9565
2018-07-27,49.7700,49.8300,48.6380,48.9100,1111200,45.0845
2018-07-30,49.0200,49.0200,47.8690,48.1400,251300,44.3747
2018-07-31,48.3700,48.7700,48.1400,48.4600,1211400,44.6697
2018-08-01,48.5600,48.7790,48.1190,48.2600,1250400,44.4853
2018-08-02,48.0900,48.6600,47.9000,48.5800,190700,44.7803
2018-08-03,48.0900,48.9300,48.0900,48.9100,117200,45.0845
2018-08-06,48.9100,49.4100,48.8200,49.4000,110200,45.5361
2018-08-07,49.6800,49.7990,49.4200,49.4600,128800,45.5914
2018-08-08,49.5500,49.6000,49.3580,49.4200,114200,45.5546
2018-08-09,49.4600,49.8850,49.4600,49.6900,306400,45.8034
2018-08-10,49.5300,49.5300,49.1500,49.2700,177600,45.4163
2018-08-13,49.3300,49.6100,49.1700,49.2000,261000,45.3518
2018-08-14,49.4400,49.6300,49.1100,49.5500,189800,45.6744
2018-08-15,49.2400,49.3000,48.4900,48.8600,555100,45.0384
2018-08-16,49.1900,49.2350,48.7600,48.8400,177600,45.0199
2018-08-17,48.6600,48.8100,48.4000,48.6100,226900,44.8079
2018-08-20,48.8500,48.8500,48.3710,48.6900,145800,44.8817
2018-08-21,48.9500,49.2300,48.8100,48.9900,384900,45.1582
2018-08-22,48.8500,49.0300,48.7500,48.9300,501900,45.1029
2018-08-23,48.8800,49.1700,48.7200,48.7300,283700,44.9185
2018-08-24,48.9600,49.4400,48.8800,49.4400,330900,45.5730
2018-08-27,49.7500,50.0190,49.6610,49.9200,299200,46.0154
2018-08-28,50.0600,50.0600,49.6310,49.7000,150200,45.8127
2018-08-29,49.8300,50.0200,49.6700,49.9800,270900,46.0708
2018-08-30,49.8100,50.0350,49.4800,49.6700,344400,45.7850
2018-08-31,49.6200,49.6200,49.0420,49.1800,235000,45.3333
2018-09-04,49.0500,49.0500,48.4000,48.5700,343700,44.7711
2018-09-05,48.5200,48.5200,47.7600,47.9400,773600,44.1903
2018-09-06,47.9100,47.9800,47.1700,47.5800,599600,43.8585
2018-09-07,47.2800,47.9500,47.2300,47.6800,755700,43.9507
2018-09-10,47.9800,47.9800,47.5590,47.7800,310900,44.0428
2018-09-11,47.7200,48.3600,47.6600,48.2600,615700,44.4853
2018-09-12,48.1300,48.2500,47.8500,48.1200,713300,44.3562
2018-09-13,48.3100,48.5200,48.2100,48.4600,754500,44.6697
2018-09-14,48.6400,48.6400,48.2500,48.3700,1190800,44.5867
2018-09-17,48.4200,48.4200,47.8600,47.9000,810800,44.1535
2018-09-18,47.9500,48.4100,47.9000,48.2400,430100,44.4669
2018-09-19,48.2900,48.4200,47.9900,48.3700,2385200,44.5867
2018-09-20,48.7700,48.9500,48.5200,48.9000,4554200,45.0752
2018-09-21,49.0200,49.0400,48.4200,48.5500,7974600,44.8738
2018-09-24,48.2100,48.6200,48.0100,48.5500,6769400,44.8738
2018-09-25,48.5400,48.6500,48.2500,48.5700,3994500,44.8922
2018-09-26,48.6500,49.2500,48.6000,48.7600,5688600,45.0678
2018-09-27,49.0600,49.5300,48.8900,49.1800,3649400,45.4560
2018-09-28,49.0700,49.1200,48.7980,49.0000,2306600,45.2897
2018-10-01,49.1700,49.2200,48.5700,48.8000,7636900,45.1048
2018-10-02,48.7700,48.9630,48.5800,48.7600,5823500,45.0678
2018-10-03,49.0300,49.1900,48.8500,48.9800,5146200,45.2712
2018-10-04,48.9300,48.9300,47.8700,48.2800,5292200,44.6242
2018-10-05,48.3500,48.5300,47.4800,47.8200,2648400,44.1990
2018-10-08,47.6000,47.8300,47.0100,47.6600,2170000,44.0511
2018-10-09,47.6600,48.1200,47.5700,47.6300,1991400,44.0234
2018-10-10,47.5300,47.5400,45.7100,45.7500,4050700,42.2858
2018-10-11,45.6600,46.2700,44.9300,45.3600,8840700,41.9253
2018-10-12,46.4400,46.5000,45.5900,46.3700,5877600,42.8588
2018-10-15,46.2100,46.6800,46.0000,46.1900,1576900,42.6925
2018-10-16,46.6900,47.5050,46.6100,47.4100,3707300,43.8201
2018-10-17,47.7400,47.7400,47.1100,47.6000,4571000,43.9957
2018-10-18,47.4900,47.4900,46.3770,46.7300,21297200,43.1916
2018-10-19,47.0000,47.4100,46.5400,46.7200,3544400,43.1823
2018-10-22,46.9900,47.1200,46.5100,46.6900,2711700,43.1546
2018-10-23,46.0300,46.7900,45.6380,46.5900,2779600,43.0622
2018-10-24,46.5800,46.5800,44.3200,44.3700,3552300,41.0103
2018-10-25,45.1700,46.1500,45.1700,45.8400,3391700,42.3690
2018-10-26,44.4300,45.6000,44.0400,44.6000,5229100,41.2228
2018-10-29,45.3000,45.6000,43.0700,43.9100,3491000,40.5851
2018-10-30,43.8400,45.1700,43.6650,45.1100,6283600,41.6942
2018-10-31,45.9900,46.5500,45.7900,46.0400,3577200,42.5538
2018-11-01,46.1900,46.4100,45.7400,46.3100,2550000,42.8034
2018-11-02,46.4500,46.7480,45.5400,45.8400,2628600,42.3690
2018-11-05,45.9300,45.9300,45.3200,45.6500,2439500,42.1933
2018-11-06,45.7000,46.1800,45.5700,45.9200,2040300,42.4429
2018-11-07,46.3900,46.7900,46.1700,46.7600,2705800,43.2193
2018-11-08,46.7900,46.7900,46.0500,46.3200,1295700,42.8126
2018-11-09,45.7400,45.9100,45.0100,45.3700,2234500,41.9345
2018-11-12,45.3200,45.3700,44.5000,44.6900,1203700,41.3060
2018-11-13,44.8900,45.2900,44.4600,44.5500,2186100,41.1766
2018-11-14,45.0300,45.1500,44.4100,44.7700,2137500,41.3800
2018-11-15,44.5600,45.1800,44.1360,45.1000,3864100,41.6850
2018-11-16,44.8400,45.0500,44.4500,44.8800,2092100,41.4816
2018-11-19,44.7300,44.7600,43.3900,43.5200,2358000,40.2246
2018-11-20,42.7400,43.4200,42.3800,42.9500,5028200,39.6978
2018-11-21,43.3900,43.8600,43.3200,43.4600,3187400,40.1692
2018-11-23,43.1900,43.3300,42.8900,42.8900,667100,39.6423
2018-11-26,43.3900,43.8800,43.2800,43.8700,2563700,40.5481
2018-11-27,43.7200,44.1500,43.5300,44.0100,2114400,40.6775
2018-11-28,44.2400,44.9300,43.7300,44.9300,2707400,41.5279
2018-11-29,44.6900,45.3050,44.5350,45.0800,2247700,41.6665
2018-11-30,45.1600,45.1600,44.6400,45.0100,5563500,41.6018
2018-12-03,45.9800,45.9800,44.9000,45.0800,5790400,41.6665
2018-12-04,45.0000,45.2600,43.6500,43.7500,3268000,40.4372
2018-12-06,43.1000,44.2400,42.9700,44.2400,3560400,40.8901
2018-12-07,44.0900,44.4500,43.2100,43.4000,2625800,40.1137
2018-12-10,43.5200,43.9400,42.9070,43.7300,3379500,40.4187
2018-12-11,44.2600,44.3600,43.5300,43.7700,4425900,40.4557
2018-12-12,44.1800,44.8300,44.1800,44.2400,3352600,40.8901
2018-12-13,44.3800,44.5400,43.7600,44.0400,1984100,40.7052
2018-12-14,43.5900,44.1400,43.5200,43.6100,1910800,40.3078
2018-12-17,43.4500,43.8400,42.4400,42.7600,3275000,39.5222
2018-12-18,42.9900,43.4200,42.7000,42.9500,3597400,39.6978
2018-12-19,42.8900,43.5700,41.7900,42.0300,5714100,38.8474
2018-12-20,41.7800,42.2100,40.7670,41.2900,9067000,38.1635
2018-12-21,41.2600,41.6100,39.5000,39.8100,7987400,36.9153
2018-12-24,39.5300,40.1600,38.9700,38.9700,3888500,36.1364
2018-12-26,39.2700,41.1800,39.0410,41.1600,4104000,38.1672
2018-12-27,40.5900,41.3500,39.7500,41.3500,3768600,38.3434
2018-12-28,41.5100,41.8400,40.9600,41.2200,2631900,38.2228
2018-12-31,41.5400,41.6800,40.7600,41.2800,5303600,38.2785
2019-01-02,40.6000,42.0350,40.5200,41.8300,4625800,38.7885
2019-01-03,41.5600,41.8800,41.0600,41.1300,3433700,38.1394
2019-01-04,41.8100,43.0100,41.6700,42.9000,2647900,39.7807
2019-01-07,42.9500,43.5700,42.8100,43.3900,4048400,40.2350
2019-01-08,43.8100,44.1800,43.4900,44.1200,2144800,40.9120
2019-01-09,44.2600,44.2900,43.7900,44.1800,1840800,40.9676
2019-01-10,43.9900,44.3300,43.6600,44.2700,1340500,41.0511
2019-01-11,43.9900,44.1200,43.6600,44.0500,1227900,40.8471
2019-01-14,43.7600,44.0620,43.5500,43.8900,2344900,40.6987
2019-01-15,44.1100,44.7200,44.0300,44.6200,2459700,41.3756
2019-01-16,44.6700,44.7800,44.3700,44.4300,20343800,41.1994
2019-01-17,44.3300,44.7300,44.1900,44.6100,3311000,41.3663
2019-01-18,44.9400,45.2750,44.7600,44.9700,3375800,41.7002
2019-01-22,44.6600,44.7200,43.7600,44.0400,4343200,40.8378
2019-01-23,44.2900,44.3700,43.4400,43.8400,2540500,40.6523
2019-01-24,43.8200,44.0900,43.5900,44.0400,2878700,40.8378
2019-01-25,44.4300,44.7400,44.3500,44.6000,3341100,41.3571
2019-01-28,44.1800,44.2700,43.8210,44.2100,4328200,40.9954
2019-01-29,44.1800,44.1900,43.5500,43.6900,1138100,40.5132
2019-01-30,43.9500,44.4040,43.5100,44.3200,2578000,41.0974
2019-01-31,45.5000,46.3200,45.4100,46.1300,4798700,42.7758
2019-02-01,46.0300,46.3600,45.9100,45.9700,4395100,42.6274
2019-02-04,46.0100,46.4000,45.8600,46.4000,3703100,43.0262
2019-02-05,46.3600,46.9500,46.3300,46.9100,2388600,43.4991
2019-02-06,46.5300,46.5300,45.7600,45.8600,3748900,42.5255
2019-02-07,45.4500,45.5890,44.9300,45.4200,2341500,42.1174
2019-02-08,45.1000,45.7300,45.0600,45.7300,2600400,42.4049
