Date,Open,High,Low,Close,Volume,AdjClose
1999-01-01,11.6406,12.2812,10.7188,10.9062,2141800,5.3083
1999-02-01,10.9062,11.6094,10.7656,10.8125,3159000,5.2626
1999-03-01,10.8359,12.8438,10.5469,12.2969,12656000,6.0066
1999-04-01,12.3125,14.4375,12.1484,14.1172,10569400,6.8958
1999-05-01,14.1250,14.5625,13.5078,13.8125,9932600,6.7470
1999-06-01,13.7812,14.6875,13.5078,14.0234,6390800,6.8847
1999-07-01,14.0625,14.6875,13.7969,14.2891,1940800,7.0151
1999-08-01,14.1953,15.0859,13.9766,14.4453,8917200,7.0918
1999-09-01,14.4453,15.1562,13.1250,13.7188,7915200,6.7657
1999-10-01,13.7500,13.8516,12.8438,13.5156,6582600,6.6655
1999-11-01,13.5312,14.5938,12.6875,13.4922,5423200,6.6539
1999-12-01,13.4688,14.0000,13.0781,13.5469,12514800,6.7006
2000-01-01,13.6562,14.7344,12.9375,13.6562,11807200,6.7547
2000-02-01,13.6562,13.8047,12.3125,13.0781,8426000,6.4687
2000-03-01,13.0078,15.1094,12.9688,14.6562,17215200,7.2736
2000-04-01,14.7500,15.0781,13.7578,14.4375,11637800,7.1650
2000-05-01,14.5938,16.1562,14.5000,16.1328,10297600,8.0064
2000-06-01,16.0781,16.2500,15.0469,15.1719,9126200,7.5659
2000-07-01,15.0938,15.5234,14.1406,14.5938,8413400,7.2776
2000-08-01,14.7188,16.6875,14.7188,16.1875,7805800,8.0724
2000-09-01,16.1406,17.2344,15.5000,16.3828,35425800,8.2051
2000-10-01,16.4688,17.3750,15.4375,15.9375,29520000,7.9821
2000-11-01,16.0625,16.5625,14.9531,15.1016,14942000,7.5634
2000-12-01,15.1250,16.9688,15.0625,16.5938,10158200,8.3356
2001-01-01,16.8750,17.0547,15.0938,16.0650,8184000,8.0700
2001-02-01,16.0650,17.0200,15.7750,15.8700,9227600,7.9720
2001-03-01,15.9250,17.1750,14.7250,15.3500,13691200,7.7342
2001-04-01,15.2500,17.1200,14.5250,16.9350,9492200,8.5328
2001-05-01,16.7900,17.4500,15.9050,16.7750,18697200,8.4522
2001-06-01,16.7500,17.0150,14.9200,15.1750,13859800,7.6819
2001-07-01,15.1000,15.3600,14.1250,15.0000,10155800,7.5934
2001-08-01,15.1750,15.2400,14.2500,14.3650,11439200,7.2719
2001-09-01,14.3700,14.6600,11.8750,12.9100,22903800,6.5721
2001-10-01,12.8000,14.4500,12.5150,13.4300,23026400,6.8368
2001-11-01,13.3950,13.7650,12.0000,12.6800,49611600,6.4550
2001-12-01,12.6150,13.6100,12.3500,13.3500,13792600,6.8241
2002-01-01,13.3500,14.0000,11.6000,12.8750,11930000,6.5813
2002-02-01,12.8850,13.5000,12.4150,13.3150,23414000,6.8062
2002-03-01,13.4900,14.6250,13.3600,14.4450,16371000,7.4087
2002-04-01,14.5250,14.7600,13.5150,13.9250,17990000,7.1420
2002-05-01,13.8250,14.2500,13.3900,13.6800,11720400,7.0164
2002-06-01,13.6250,13.6250,12.6250,13.1000,8598800,6.7594
2002-07-01,13.1300,13.1750,9.6900,11.2850,26459600,5.8229
2002-08-01,11.0900,11.9950,10.0600,11.4550,10303800,5.9106
2002-09-01,11.2000,11.6300,10.2550,10.5800,8587000,5.4888
2002-10-01,10.6000,11.4300,10.0950,10.7750,15262200,5.5900
2002-11-01,10.7750,11.2800,10.4000,11.2200,7964200,5.8209
2002-12-01,11.2650,11.6900,10.9750,11.1650,13621600,5.8222
2003-01-01,11.2250,11.5350,10.2300,10.8850,16545400,5.6762
2003-02-01,10.9000,11.4150,10.5300,11.2050,16664400,5.8431
2003-03-01,11.1800,11.4250,10.7250,11.1600,29748600,5.8502
2003-04-01,11.1750,11.3900,10.9050,11.0650,19907600,5.8004
2003-05-01,11.1600,12.3200,10.9900,12.2400,23280200,6.4164
2003-06-01,12.3000,12.9000,12.0250,12.0250,14684600,6.3340
2003-07-01,11.9450,12.0550,11.4600,11.6000,13682800,6.1101
2003-08-01,11.6250,12.3500,11.3650,12.3400,16235000,6.4999
2003-09-01,12.3050,12.5250,11.8750,12.0250,10567200,6.3658
2003-10-01,12.0000,12.5400,11.8800,12.1400,13111800,6.4267
2003-11-01,12.1600,12.3550,11.9500,12.2350,9604400,6.4770
2003-12-01,12.2950,14.0000,12.2500,13.7750,29176800,7.3250
2004-01-01,13.9050,14.5550,13.7000,14.0850,42980000,7.4899
2004-02-01,14.1200,14.8750,13.7600,14.8250,28308800,7.8834
2004-03-01,14.9350,15.2400,14.0050,14.6700,45546200,7.8341
2004-04-01,14.6950,15.5200,14.4550,14.9200,51929000,7.9676
2004-05-01,14.9650,15.4000,14.3250,14.8750,73893600,7.9436
2004-06-01,15.0150,15.9950,14.7700,15.7400,79257600,8.4390
2004-07-01,15.8000,16.3650,15.6550,16.2250,49595400,8.6990
2004-08-01,16.2500,16.4250,15.2800,15.9750,97607400,8.5650
2004-09-01,16.0000,17.6400,15.9800,17.4650,95796000,9.4012
2004-10-01,17.5250,18.4150,17.1750,17.5700,132116200,9.4577
2004-11-01,17.6750,18.9500,17.1600,18.7550,155210600,10.0955
2004-12-01,18.7000,18.7650,17.3800,18.1600,142484200,9.8108
2005-01-01,18.0500,18.8550,17.2700,18.7750,154334400,10.1430
2005-02-01,18.8800,22.3750,18.8550,21.9250,180536400,11.8448
2005-03-01,21.8750,22.5700,20.3900,21.4350,504822400,11.6186
2005-04-01,21.7150,22.2400,19.7050,20.2750,732163800,10.9899
2005-05-01,20.2450,21.0450,18.9700,20.8400,637120600,11.2961
2005-06-01,20.9600,23.0750,20.9050,22.2250,570549400,12.0845
2005-07-01,22.2550,24.2400,22.2550,23.8000,567296200,12.9409
2005-08-01,23.9100,25.4450,23.4350,25.3200,604930600,13.7674
2005-09-01,25.6500,27.3250,25.2200,26.8350,614582400,14.6328
2005-10-01,27.0250,27.1500,22.4700,24.4100,1194923000,13.3105
2005-11-01,24.2800,25.6700,23.3650,24.7750,843823800,13.5095
2005-12-01,24.9750,26.5950,24.7300,25.1550,724772200,13.7526
2006-01-01,25.3150,29.1400,25.3150,28.8300,890539200,15.7618
2006-02-01,28.7450,29.0350,25.5450,26.1700,1108627600,14.3075
2006-03-01,26.3700,27.8500,25.2750,27.2000,1022062000,14.9147
2006-04-01,27.3750,29.9250,27.1250,28.5700,848921200,15.6660
2006-05-01,28.7750,30.0750,26.0750,27.7750,1115755600,15.2300
2006-06-01,27.5000,28.5900,25.0050,28.3750,1353286400,15.6166
2006-07-01,28.5250,29.4900,27.1250,29.3250,735651200,16.1394
2006-08-01,29.2700,29.9400,27.7700,27.8350,726194800,15.3194
2006-09-01,28.0000,28.6350,25.0850,26.7250,1034548200,14.7589
2006-10-01,26.6100,28.7250,25.1000,27.8650,1131957400,15.3884
2006-11-01,27.8100,30.4150,27.3600,30.2550,901892400,16.7083
2006-12-01,30.0550,31.0650,29.0950,29.3150,724956400,16.2376
2007-01-01,29.1550,29.1950,26.9450,29.0450,1300166200,16.0880
2007-02-01,29.0500,29.7650,28.2250,28.4500,833961600,15.7585
2007-03-01,28.1600,30.5800,27.4700,30.1400,1141924600,16.7493
2007-04-01,30.1300,32.3750,30.0950,31.6850,707178400,17.6079
2007-05-01,31.7200,34.5350,31.4900,34.1500,909732400,18.9778
2007-06-01,34.3200,35.7250,33.3950,34.4950,810815600,19.2251
2007-07-01,34.5550,37.3650,34.0550,34.5000,1039622800,19.2279
