Date,Open,High,Low,Close,Volume,AdjClose
1998-12-22,23.2031,23.2812,23.2031,23.2812,600,14.3581
1998-12-23,23.4531,23.7500,23.4531,23.6875,900,14.6086
1998-12-24,23.9062,24.0156,23.8281,24.0000,1400,14.8014
1998-12-28,24.0000,24.1406,24.0000,24.1250,7400,14.8785
1998-12-29,24.2500,24.4688,24.2500,24.4688,1400,15.0904
1998-12-30,24.4531,24.4531,24.2969,24.3594,2800,15.0230
1998-12-31,24.3594,24.5625,24.3125,24.5625,33100,15.1483
1999-01-04,24.5938,24.8438,24.2188,24.2188,6400,14.9363
1999-01-05,24.4688,24.7656,24.3594,24.7188,2000,15.2446
1999-01-06,24.9531,25.3281,24.9531,25.2500,13500,15.5723
1999-01-07,25.0625,25.1250,24.8438,25.0312,13100,15.4374
1999-01-08,24.9688,25.2500,24.8281,25.2188,11000,15.5530
1999-01-11,25.1562,25.1562,24.8750,24.9844,2200,15.4085
1999-01-12,24.8594,24.9219,24.6094,24.6875,6500,15.2254
1999-01-13,24.0312,24.3594,24.0000,24.0625,1700,14.8399
1999-01-14,24.0000,24.2188,23.9531,23.9531,4100,14.7725
1999-01-15,24.0781,24.4219,24.0781,24.3594,4900,15.0230
1999-01-19,24.5781,24.5781,24.1094,24.3125,10100,14.9941
1999-01-20,24.3750,24.5000,24.2031,24.2031,1700,14.9266
1999-01-21,24.1406,24.1406,23.9844,24.0000,2500,14.8014
1999-01-22,23.6562,23.7500,23.5312,23.5312,8700,14.5123
1999-01-25,23.6406,23.9219,23.6094,23.9219,4600,14.7532
1999-01-26,23.9219,23.9219,23.9219,23.9219,0,14.7532
1999-01-27,24.2031,24.2031,24.1094,24.1094,500,14.8688
1999-01-28,24.0312,24.1875,23.9531,24.1406,1900,14.8881
1999-01-29,24.2344,24.4062,23.9531,24.2969,109200,14.9844
1999-02-01,24.5000,24.5000,24.3281,24.3281,2400,15.0037
1999-02-02,24.1562,24.1875,23.8594,24.1406,20700,14.8881
1999-02-03,24.1406,24.3750,24.1406,24.3750,20100,15.0326
1999-02-04,24.3438,24.4219,24.2500,24.4062,6100,15.0519
1999-02-05,24.4844,24.4844,24.2969,24.3281,4300,15.0037
1999-02-08,24.5000,24.5000,24.1406,24.4062,2900,15.0519
1999-02-09,24.3594,24.3594,24.0781,24.0781,4100,14.8495
1999-02-10,24.1719,24.1719,24.0469,24.1719,5400,14.9074
1999-02-11,24.3281,24.5000,24.3281,24.5000,3500,15.1097
1999-02-12,24.3906,24.3906,24.3125,24.3594,2600,15.0230
1999-02-16,24.5156,24.5312,24.4688,24.4844,3800,15.1001
1999-02-17,24.2812,24.7500,24.2812,24.4844,5400,15.1001
1999-02-18,24.3281,24.5312,24.2656,24.4844,4300,15.1001
1999-02-19,24.3750,24.6719,24.3750,24.6406,2800,15.1965
1999-02-22,24.6562,25.0156,24.6562,25.0156,6400,15.4277
1999-02-23,24.9375,25.0469,24.8594,25.0000,5400,15.4181
1999-02-24,25.1562,25.1719,24.8750,24.9375,5300,15.3795
1999-02-25,24.5781,24.5781,24.2812,24.4375,3200,15.0712
1999-02-26,24.5625,24.6562,24.3750,24.5156,3400,15.1194
1999-03-01,24.4688,24.5000,24.3125,24.5000,3200,15.1097
1999-03-02,24.5625,24.6094,24.2969,24.2969,47600,14.9844
1999-03-03,24.4844,24.4844,24.1094,24.1562,13600,14.8977
1999-03-04,24.3438,24.6250,24.3438,24.6250,15700,15.1868
1999-03-05,25.0469,25.1719,25.0469,25.1719,5200,15.5241
1999-03-08,25.2656,25.3125,25.1875,25.3125,1800,15.6108
1999-03-09,25.3125,25.5156,25.2969,25.4375,1800,15.6879
1999-03-10,25.3438,25.4688,25.2344,25.3906,2700,15.6590
1999-03-11,25.4062,25.7031,25.4062,25.4219,1800,15.6783
1999-03-12,25.4531,25.5469,25.4531,25.5000,2200,15.7264
1999-03-15,25.4844,25.5781,25.4375,25.4375,1900,15.6879
1999-03-16,25.4844,25.5000,25.2656,25.2656,4800,15.5819
1999-03-17,25.3125,25.4531,25.1875,25.2188,1900,15.5530
1999-03-18,25.1719,25.2812,25.1094,25.2812,3900,15.5915
1999-03-19,25.3125,25.4219,25.2656,25.3438,9100,15.6884
1999-03-22,25.2344,25.3438,25.1406,25.1562,9900,15.5723
1999-03-23,25.1562,25.1562,24.5625,24.5625,4900,15.2048
1999-03-24,24.5625,25.5781,24.4375,24.5000,4800,15.1661
1999-03-25,24.6250,24.9219,24.6094,24.7656,6500,15.3305
1999-03-26,24.5781,24.8594,24.5781,24.8281,3100,15.3692
1999-03-29,25.1250,25.2344,25.1250,25.2344,3000,15.6207
1999-03-30,25.0625,25.2500,25.0625,25.2188,3500,15.6110
1999-03-31,25.0625,25.1094,24.9375,24.9375,21700,15.4369
1999-04-01,24.9688,25.2031,24.9688,25.2031,3500,15.6014
1999-04-05,25.3906,25.7500,25.3750,25.7500,7700,15.9399
1999-04-06,25.6562,25.6719,25.5000,25.6094,2700,15.8528
1999-04-07,25.7188,25.7656,25.4688,25.6562,24400,15.8819
1999-04-08,25.5938,25.8438,25.5312,25.7969,24800,15.9689
1999-04-09,25.8125,25.8438,25.6719,25.8125,1200,15.9786
1999-04-12,25.8125,26.4375,25.7812,26.4375,11500,16.3655
1999-04-13,26.4062,26.6406,26.3750,26.6406,1100,16.4912
1999-04-14,26.7656,27.4531,26.7500,27.2188,25500,16.8491
1999-04-15,27.5000,28.0469,27.4688,27.9219,61700,17.2843
1999-04-16,28.0000,28.1875,27.7500,28.0781,173300,17.3811
1999-04-19,28.3906,29.3125,28.1875,28.3125,292800,17.5261
1999-04-20,28.4688,28.4688,27.8438,28.1250,102300,17.4101
1999-04-21,28.1875,28.2656,27.9375,28.2188,58100,17.4681
1999-04-22,28.1094,29.2188,28.1094,28.2344,56200,17.4778
1999-04-23,28.0000,28.4531,28.0000,28.4531,109800,17.6132
1999-04-26,28.5469,28.6250,28.4219,28.4219,64900,17.5939
1999-04-27,28.7656,28.7812,28.5000,28.5625,160800,17.6809
1999-04-28,28.5781,29.0625,28.5781,28.9219,27200,17.9034
1999-04-29,29.1406,29.2188,28.7656,29.0312,85400,17.9711
1999-04-30,29.0625,29.0625,28.3906,28.6875,63200,17.7583
1999-05-03,28.5781,29.2500,28.5781,29.2500,26700,18.1065
1999-05-04,29.2500,29.5625,29.1875,29.3750,333200,18.1839
1999-05-05,29.2969,29.4531,29.0469,29.3750,70000,18.1839
1999-05-06,29.2500,29.4375,29.1094,29.4375,108700,18.2225
1999-05-07,29.5625,30.0000,29.5312,30.0000,119300,18.5707
1999-05-10,29.7500,29.9531,29.5938,29.5938,24900,18.3193
1999-05-11,29.9375,30.1406,29.7969,30.0938,83400,18.6288
1999-05-12,30.0000,30.0000,29.6719,29.7969,50900,18.4450
1999-05-13,29.6719,29.7969,29.4062,29.5000,32400,18.2612
1999-05-14,29.1250,29.5000,29.0312,29.1250,34400,18.0291
1999-05-17,29.0781,29.0938,28.8281,29.0625,22600,17.9904
1999-05-18,28.7969,28.9219,28.3438,28.6875,19500,17.7583
1999-05-19,28.8438,29.1562,28.8438,29.1250,74300,18.0291
1999-05-20,29.2812,29.3906,28.2500,29.2031,11100,18.0775
1999-05-21,29.0938,29.0938,28.7969,28.8594,90600,17.8647
1999-05-24,28.9219,29.2031,28.6094,28.6094,14900,17.7099
1999-05-25,28.8438,28.8750,28.5156,28.5156,17600,17.6519
1999-05-26,28.3438,28.4219,28.1875,28.3125,77400,17.5261
1999-05-27,28.1875,28.1875,27.6562,27.8438,719300,17.2360
1999-05-28,27.9062,28.2344,27.9062,28.1250,2200,17.4101
1999-06-01,28.1250,28.5000,27.8906,28.1406,11800,17.4197
1999-06-02,28.6875,28.6875,28.3906,28.5156,22800,17.6519
1999-06-03,28.5156,28.8594,28.5156,28.8125,17900,17.8357
1999-06-04,28.9688,29.1094,28.9688,29.1094,4600,18.0194
1999-06-07,29.3594,29.4219,29.3125,29.3906,10800,18.1935
1999-06-08,29.3438,29.3438,29.1250,29.1250,24900,18.0291
1999-06-09,29.2344,29.3125,29.0938,29.1562,8500,18.0484
1999-06-10,28.9062,28.9219,28.6719,28.8125,46400,17.8357
1999-06-11,28.9375,29.0781,28.7656,28.7656,2100,17.8066
1999-06-14,29.0000,29.1562,29.0000,29.1094,14400,18.0194
1999-06-15,29.1250,29.2656,29.1250,29.2031,4400,18.0775
1999-06-16,29.4531,29.7188,29.4531,29.6094,183200,18.3289
1999-06-17,29.4688,29.8594,29.4688,29.8438,11000,18.4740
1999-06-18,29.9062,30.0312,29.8125,30.0312,1000,18.6138
1999-06-21,30.0000,30.0000,29.5625,29.6250,4400,18.3620
1999-06-22,29.6875,29.7656,29.4844,29.4844,33000,18.2748
1999-06-23,29.5000,29.5781,29.2031,29.5781,29500,18.3329
1999-06-24,29.5156,29.5156,28.9844,29.2656,34000,18.1392
1999-06-25,29.2500,29.2969,29.0625,29.0938,2800,18.0327
1999-06-28,29.2656,29.3125,29.1406,29.1406,3600,18.0618
1999-06-29,29.1406,29.2969,29.1406,29.2969,4400,18.1586
1999-06-30,29.4531,29.8438,29.1719,29.8125,24700,18.4782
1999-07-01,29.5781,29.8281,29.5781,29.8281,15200,18.4879
1999-07-02,29.8438,30.0156,29.8438,29.9688,11400,18.5750
1999-07-06,29.7812,30.1562,29.7812,30.0000,42200,18.5944
1999-07-07,29.9688,30.0000,29.5469,29.7812,12000,18.4588
1999-07-08,29.7031,29.9219,29.6562,29.8906,3300,18.5266
1999-07-09,29.9062,29.9844,29.8594,29.9219,80800,18.5460
1999-07-12,29.9531,29.9531,29.6094,29.6562,3400,18.3814
1999-07-13,29.4844,29.5781,29.4062,29.5469,32500,18.3136
1999-07-14,29.7812,29.7812,29.5156,29.7031,82700,18.4104
1999-07-15,29.9062,29.9062,29.7969,29.9062,14200,18.5363
1999-07-16,29.9062,30.0625,29.8906,29.9531,3800,18.5654
1999-07-19,30.1875,30.1875,29.9844,29.9844,1100,18.5847
1999-07-20,29.9219,30.0938,29.8750,29.9531,73500,18.5654
1999-07-21,29.8594,30.0781,29.8594,29.9219,1900,18.5460
1999-07-22,30.6250,30.6250,29.8125,29.8125,9600,18.4782
1999-07-23,29.7812,29.9531,29.6250,29.6562,67100,18.3814
1999-07-26,29.5312,29.8125,29.4219,29.4375,33100,18.2458
1999-07-27,29.6562,29.8281,29.5625,29.8281,3000,18.4879
1999-07-28,29.7188,29.7188,29.6562,29.6562,1100,18.3814
1999-07-29,29.3750,29.3750,29.0156,29.0625,16800,18.0133
1999-07-30,29.0625,29.0625,28.7188,28.7188,3900,17.8003
1999-08-02,28.9062,29.0312,28.7969,28.7969,43800,17.8487
1999-08-03,28.9531,28.9531,28.6250,28.8125,2000,17.8584
1999-08-04,28.8906,28.9062,28.5938,28.5938,9500,17.7228
1999-08-05,28.4688,28.7656,28.3750,28.7500,14400,17.8197
1999-08-06,28.5000,28.5000,28.2969,28.4844,1500,17.6550
1999-08-09,28.4844,28.5781,28.3750,28.3906,103400,17.5969
1999-08-10,28.4688,28.4688,28.0781,28.1250,3600,17.4323
1999-08-11,28.2500,28.6250,28.1562,28.6250,5400,17.7422
1999-08-12,28.7500,28.7500,28.5000,28.5156,4400,17.6744
1999-08-13,28.7188,29.0469,28.7188,29.0156,3600,17.9843
1999-08-16,29.0781,29.2031,29.0312,29.1250,38800,18.0521
1999-08-17,29.3750,29.5312,29.2500,29.5312,2700,18.3039
1999-08-18,29.2500,29.3281,29.2031,29.2500,5300,18.1296
1999-08-19,28.8750,28.9219,28.6875,28.8750,4200,17.8971
1999-08-20,29.0781,29.2812,29.0781,29.1719,2800,18.0812
1999-08-23,29.5000,29.8438,29.5000,29.7969,14900,18.4685
1999-08-24,29.9062,30.0000,29.7812,29.8125,32700,18.4782
1999-08-25,29.8125,30.2344,29.8125,30.1406,33800,18.6816
1999-08-26,30.1719,30.1719,29.9844,29.9844,15800,18.5847
