Date,Open,High,Low,Close,Volume,AdjClose
1998-12-22,16.2031,16.2500,15.8906,16.0234,601000,11.8952
1998-12-23,16.3750,16.4062,16.0781,16.4062,676600,12.1794
1998-12-24,16.4062,16.4062,16.2812,16.3438,487400,12.1330
1998-12-28,16.5938,16.5938,16.2969,16.3906,618600,12.1678
1998-12-29,16.4688,16.5078,16.2500,16.4375,247600,12.2026
1998-12-30,16.3438,16.5703,16.2891,16.3750,191200,12.1562
1998-12-31,16.3750,16.4531,16.1719,16.3125,154400,12.1098
1999-01-04,16.3281,16.7812,16.2969,16.5000,1301200,12.2490
1999-01-05,16.5312,17.0156,16.5312,16.9219,590400,12.5622
1999-01-06,17.3438,17.4688,17.2031,17.4219,1249400,12.9334
1999-01-07,17.2500,17.5156,17.1406,17.3672,1069200,12.8928
1999-01-08,17.7500,17.7812,17.2422,17.4375,1065600,12.9450
1999-01-11,17.9375,17.9375,17.4219,17.6094,995800,13.0726
1999-01-12,17.7500,17.7812,17.1328,17.1328,972000,12.7188
1999-01-13,16.0000,17.5781,16.0000,17.1250,1096600,12.7130
1999-01-14,17.1719,17.3125,16.7812,16.8906,732600,12.5390
1999-01-15,17.0000,17.3984,16.9219,17.3906,1307800,12.9102
1999-01-19,17.8125,18.0000,17.5078,17.9922,874600,13.3568
1999-01-20,18.4375,18.7422,18.1250,18.1562,2264400,13.4786
1999-01-21,18.1250,18.1562,17.5625,17.6875,2985800,13.1306
1999-01-22,17.3750,17.7031,17.1953,17.3750,2582000,12.8986
1999-01-25,17.5938,17.6875,17.2969,17.6797,1893200,13.1248
1999-01-26,17.8750,18.4062,17.8750,18.3906,1427800,13.6525
1999-01-27,18.6250,18.7422,18.0000,18.0000,2733800,13.3626
1999-01-28,18.3750,18.6406,18.3047,18.6328,1807200,13.8323
1999-01-29,18.6875,18.9219,18.4688,18.9062,1867200,14.0353
1999-02-01,19.0781,19.1875,18.7812,18.9219,1826000,14.0469
1999-02-02,19.0000,19.0000,18.3125,18.6016,2518400,13.8091
1999-02-03,18.5312,19.0312,18.4062,18.7344,2668200,13.9077
1999-02-04,18.8750,18.8750,17.9375,18.0938,3891800,13.4321
1999-02-05,18.0000,18.1094,17.3750,17.6562,3664800,13.1074
1999-02-08,17.8750,18.2500,17.5625,17.9531,2629200,13.3278
1999-02-09,18.0000,18.0156,17.1562,17.2500,4171000,12.8058
1999-02-10,17.3281,17.7031,17.1250,17.3750,2803600,12.8986
1999-02-11,17.6875,18.1406,17.5156,18.1094,5333400,13.4438
1999-02-12,17.6875,17.8906,17.2969,17.3906,5834800,12.9102
1999-02-16,17.8750,17.9062,17.2500,17.3125,3452800,12.8522
1999-02-17,16.8750,17.4844,16.7812,16.9219,5567000,12.5622
1999-02-18,17.1562,17.2031,16.6719,17.0156,4151200,12.6318
1999-02-19,17.3125,17.4375,17.0781,17.1719,3347200,12.7478
1999-02-22,17.2969,17.8281,17.1719,17.7812,4736000,13.2002
1999-02-23,18.0000,18.2344,17.7812,18.0156,4131000,13.3742
1999-02-24,18.1875,18.2188,17.5156,17.5156,5001000,13.0030
1999-02-25,17.1875,17.5625,17.0625,17.5625,5132400,13.0378
1999-02-26,17.5312,17.5625,16.8750,17.0312,4685200,12.6434
1999-03-01,16.8125,17.0938,16.7188,16.9531,2184200,12.5854
1999-03-02,17.0938,17.2500,16.5000,16.5000,4960400,12.2490
1999-03-03,16.7500,16.8594,16.4375,16.7812,3215600,12.4578
1999-03-04,17.1875,17.2344,16.5625,16.9531,6398200,12.5854
1999-03-05,17.4375,17.5000,17.1328,17.3438,3753800,12.8754
1999-03-08,17.7500,17.8750,17.5156,17.8438,3318800,13.2466
1999-03-09,17.7500,18.0938,17.5938,17.6562,1872000,13.1074
1999-03-10,17.6562,17.7656,17.4453,17.6562,884000,13.1074
1999-03-11,17.7500,17.9844,17.4531,17.6250,2432400,13.0842
1999-03-12,17.7812,17.7812,17.2812,17.4688,1672000,12.9682
1999-03-15,17.5938,17.7500,17.3203,17.7500,864200,13.1770
1999-03-16,17.7656,18.1250,17.7031,18.0547,1517600,13.4031
1999-03-17,18.0469,18.0625,17.7812,17.9375,850800,13.3162
1999-03-18,17.8750,18.2031,17.8125,18.1875,642800,13.5017
1999-03-19,18.3438,18.4375,17.7500,17.7500,1273000,13.1770
1999-03-22,17.7500,17.9219,17.5938,17.7500,1547000,13.1770
1999-03-23,17.6250,17.6250,17.1094,17.2344,2997200,12.7942
1999-03-24,17.3438,17.6484,17.0469,17.5703,1233400,13.0436
1999-03-25,17.9219,18.0469,17.7812,17.9844,1190200,13.3510
1999-03-26,17.9062,18.1875,17.7969,17.8906,967000,13.2814
1999-03-29,18.1250,18.5938,18.0781,18.5625,1899400,13.7801
1999-03-30,18.4688,18.7500,18.3750,18.5312,1685000,13.7569
1999-03-31,18.7500,18.9062,18.2656,18.2969,1549400,13.5829
1999-04-01,18.7500,18.7656,18.2500,18.5859,637000,13.7975
1999-04-05,18.8125,19.2500,18.7969,19.2266,2007000,14.2731
1999-04-06,19.3438,19.5625,19.1562,19.3906,1080200,14.3949
1999-04-07,19.7500,19.7812,18.9688,19.3438,1863400,14.3601
1999-04-08,19.3438,19.5938,18.9375,19.5312,1213800,14.4993
1999-04-09,19.4922,19.6797,19.3438,19.5000,557600,14.4761
1999-04-12,18.8125,19.3047,18.7188,19.2031,2075000,14.2557
1999-04-13,19.2812,19.3750,18.7500,18.9062,1601200,14.0353
1999-04-14,19.1875,19.2422,18.3750,18.4375,951400,13.6873
1999-04-15,18.6562,18.6875,18.0469,18.5938,3398400,13.8033
1999-04-16,18.5938,18.6250,18.0000,18.0938,544200,13.4321
1999-04-19,18.2812,18.2969,17.0625,17.2188,2416600,12.7826
1999-04-20,17.4062,17.6875,17.0625,17.6562,2058800,13.1074
1999-04-21,17.6562,18.1875,17.5312,18.1250,1015600,13.4553
