Date,Open,High,Low,Close,Volume,AdjClose
1998-12-22,25.8750,26.5312,25.8750,26.5000,150300,13.7989
1998-12-23,26.7969,28.7969,26.6875,27.1406,44000,14.1325
1998-12-24,27.1406,27.1406,27.0000,27.0938,45500,14.1081
1998-12-28,27.1406,27.1562,26.8125,26.9375,25400,14.0267
1998-12-29,26.9531,27.5625,25.9844,27.5312,123500,14.3359
1998-12-30,27.5312,27.6094,27.3125,27.3594,10200,14.2464
1998-12-31,27.2969,27.4219,27.0781,27.1562,66300,14.1406
1999-01-04,27.3750,27.5938,26.7344,26.9375,50000,14.0267
1999-01-05,27.0938,27.2812,27.0156,27.1406,27900,14.1325
1999-01-06,27.3281,27.4844,27.1562,27.4688,118500,14.3033
1999-01-07,27.2656,27.2656,26.9531,27.1562,43500,14.1406
1999-01-08,27.1562,27.1719,26.6250,27.0469,63800,14.0837
1999-01-11,26.9844,26.9844,26.3281,26.5000,65400,13.7989
1999-01-12,26.4844,26.5781,26.2500,26.2969,29400,13.6931
1999-01-13,25.5469,26.4844,25.5469,26.3438,73800,13.7175
1999-01-14,26.2344,26.3281,25.4844,25.8438,30800,13.4572
1999-01-15,26.0625,26.2188,25.8281,26.1250,39000,13.6036
1999-01-19,26.3281,26.3281,25.6562,25.8281,39200,13.4490
1999-01-20,25.9844,26.1875,25.7812,25.9062,480500,13.4897
1999-01-21,25.7969,25.9375,25.3594,25.5156,42500,13.2863
1999-01-22,25.3594,25.6719,25.2188,25.3906,75700,13.2212
1999-01-25,25.3906,25.4844,25.1094,25.3281,179000,13.1887
1999-01-26,25.3438,25.9219,25.2969,25.9219,85000,13.4979
1999-01-27,26.1719,26.4219,26.0938,26.2656,50400,13.6769
1999-01-28,26.2969,26.7969,26.2656,26.7344,57300,13.9209
1999-01-29,26.8125,26.9844,26.4375,26.7969,167800,13.9535
1999-02-01,26.9844,27.0781,26.6719,26.6875,57200,13.8965
1999-02-02,26.7812,26.9062,26.5312,26.9062,81800,14.0104
1999-02-03,26.7812,26.9062,26.5469,26.8125,65300,13.9616
1999-02-04,26.7031,26.9062,26.5625,26.6875,34400,13.8965
1999-02-05,26.6875,26.6875,26.2500,26.2812,33000,13.6850
1999-02-08,26.2188,26.3750,26.0156,26.2344,83500,13.6606
1999-02-09,26.1719,26.1719,25.7188,25.7656,44500,13.4165
1999-02-10,25.8906,25.9531,25.6250,25.9531,32000,13.5141
1999-02-11,26.0469,26.4062,25.9688,26.3906,22400,13.7419
1999-02-12,26.4375,26.5156,25.9844,26.1719,29600,13.6280
1999-02-16,26.5000,26.6719,26.4062,26.4844,37700,13.7908
1999-02-17,26.4688,26.7188,26.0312,26.2188,26800,13.6524
1999-02-18,26.3125,26.5781,26.2656,26.5000,29400,13.7989
1999-02-19,26.4531,26.6250,26.3438,26.3906,30300,13.7419
1999-02-22,26.5000,27.1250,26.4219,26.9531,183700,14.0349
1999-02-23,26.9844,27.1562,26.7812,26.9062,35400,14.0104
1999-02-24,27.0938,27.2656,26.5938,26.7500,69000,13.9291
1999-02-25,26.4844,26.6250,26.0781,26.4375,28100,13.7664
1999-02-26,26.3750,26.5938,26.2188,26.5156,15100,13.8070
1999-03-01,26.4219,26.5156,26.1562,26.3906,17500,13.7419
1999-03-02,26.5312,26.7031,26.2656,26.3125,29700,13.7013
1999-03-03,26.4219,26.4219,26.0469,26.3125,32000,13.7013
1999-03-04,26.3594,26.7188,26.2188,26.6719,85300,13.8884
1999-03-05,26.6875,27.2344,26.6875,27.0781,49100,14.0999
1999-03-08,27.1406,27.2031,26.8281,27.2031,30700,14.1650
1999-03-09,27.2344,27.3906,27.0000,27.2344,23300,14.1813
1999-03-10,27.1250,27.1250,26.8438,26.9375,32600,14.0267
1999-03-11,27.1406,27.3906,27.0156,27.2031,55700,14.1650
1999-03-12,27.4531,27.5781,27.2500,27.4375,48100,14.2871
1999-03-15,27.5938,27.8750,27.5000,27.6719,246400,14.4091
1999-03-16,27.7188,27.9531,27.7031,27.7969,63700,14.4742
1999-03-17,27.7812,27.7812,27.3125,27.3281,40900,14.2301
1999-03-18,27.2188,27.7969,27.2188,27.7969,22300,14.4742
1999-03-19,27.9219,27.9219,27.4062,27.6250,174200,14.4101
1999-03-22,27.4844,27.6250,27.2812,27.6094,93400,14.4020
1999-03-23,27.2969,27.4844,26.5156,26.8281,91600,13.9944
1999-03-24,26.5938,26.8594,26.5000,26.8125,46700,13.9863
1999-03-25,27.0625,27.1875,26.7656,27.0156,46000,14.0922
1999-03-26,26.7656,26.9844,26.7031,26.9219,20400,14.0433
1999-03-29,27.1875,27.4688,27.1875,27.2656,18200,14.2227
1999-03-30,26.7188,27.1406,26.7188,27.0312,45800,14.1004
1999-03-31,27.2344,27.2344,26.4062,26.4375,45800,13.7907
1999-04-01,26.7188,26.7188,26.3750,26.4844,38500,13.8151
1999-04-05,26.7500,26.7500,26.5312,26.6250,32900,13.8885
1999-04-06,26.4219,26.6250,26.1406,26.3281,136600,13.7336
1999-04-07,26.5469,26.5469,26.1406,26.2969,77800,13.7173
1999-04-08,26.3438,26.9688,26.3438,26.9062,49100,14.0352
1999-04-09,26.9688,27.1250,26.6406,26.9688,61000,14.0678
1999-04-12,27.0000,27.5469,27.0000,27.4219,28400,14.3041
1999-04-13,27.6250,27.6719,27.1875,27.5156,70200,14.3531
1999-04-14,27.5000,27.5000,26.5781,26.6875,38700,13.9211
1999-04-15,26.7656,26.7656,25.7500,26.0312,292300,13.5788
1999-04-16,26.1562,26.1562,25.8750,26.1406,16800,13.6358
1999-04-19,26.0156,26.1875,25.0000,25.0469,71700,13.0653
1999-04-20,25.3125,25.7344,25.1250,25.5156,29400,13.3098
1999-04-21,25.7500,26.5156,25.6094,26.3281,92900,13.7336
1999-04-22,26.3125,26.6562,26.2969,26.6562,29700,13.9048
1999-04-23,26.6719,26.7188,26.3906,26.6094,16600,13.8803
1999-04-26,26.6250,26.6250,26.2344,26.4219,51800,13.7825
1999-04-27,26.7188,26.7969,26.4531,26.4531,39800,13.7988
1999-04-28,26.2812,26.5625,25.5938,26.0625,110200,13.5951
1999-04-29,26.1094,26.1094,25.7500,25.8594,27100,13.4891
1999-04-30,25.9062,25.9688,25.3125,25.5156,34700,13.3098
1999-05-03,25.7500,26.1094,25.5938,26.1094,46900,13.6195
1999-05-04,26.2500,26.3125,25.7344,25.8906,91200,13.5054
1999-05-05,25.9375,26.1406,25.4844,26.1406,23500,13.6358
1999-05-06,26.2188,26.2500,25.7344,25.7969,28100,13.4565
1999-05-07,25.7969,26.2031,25.7500,26.0156,31900,13.5706
1999-05-10,26.0000,26.0000,25.5625,25.6094,125400,13.3587
1999-05-11,25.5312,26.0000,25.5312,25.7188,59800,13.4157
1999-05-12,25.7031,26.1875,25.6719,26.0938,38300,13.6114
1999-05-13,26.2500,26.3125,26.0000,26.2188,173300,13.6766
1999-05-14,25.7344,26.0312,25.5156,25.7500,41600,13.4320
1999-05-17,25.5469,25.9688,25.5000,25.9219,36800,13.5217
1999-05-18,25.9219,26.9688,25.3594,25.5781,95500,13.3424
1999-05-19,25.7031,25.9844,25.6250,25.9375,59400,13.5299
1999-05-20,25.8594,26.1719,25.8594,26.0000,150600,13.5625
1999-05-21,25.9531,26.1094,25.7344,25.9219,78100,13.5217
1999-05-24,25.7656,26.0469,25.2500,25.2500,20100,13.1712
1999-05-25,25.3281,25.5469,25.0000,25.0000,33500,13.0408
1999-05-26,25.2188,25.2500,24.8594,25.0000,67600,13.0408
1999-05-27,24.7812,25.2656,24.7656,24.8750,24400,12.9756
1999-05-28,25.1250,25.4062,25.0000,25.2500,16500,13.1712
1999-06-01,25.2969,25.3750,24.9531,25.3438,36700,13.2201
1999-06-02,25.0781,25.3281,24.9531,24.9531,65200,13.0164
1999-06-03,25.0000,25.4688,25.0000,25.1875,40600,13.1386
1999-06-04,25.1875,26.0625,25.1875,26.0625,17400,13.5951
1999-06-07,26.1094,26.1094,25.7656,25.8438,28400,13.4809
1999-06-08,25.5938,25.8281,25.3438,25.4844,77100,13.2935
1999-06-09,25.4531,25.6719,25.2500,25.3438,18400,13.2201
1999-06-10,25.0000,25.2344,24.8125,24.8750,71200,12.9756
1999-06-11,25.2500,25.3125,24.6250,24.6250,20400,12.8452
1999-06-14,24.6406,24.8438,24.5625,24.7031,32300,12.8860
1999-06-15,24.7500,25.0000,24.6719,24.7656,25600,12.9186
1999-06-16,25.0000,25.0312,24.7188,24.9531,46300,13.0164
1999-06-17,24.8750,25.3750,24.8750,25.1562,26300,13.1223
1999-06-18,25.0938,25.1562,24.8125,25.0469,33600,13.1174
1999-06-21,25.0156,25.0156,24.4844,24.7656,35900,12.9701
1999-06-22,24.7188,25.0000,24.7188,24.9062,85400,13.0438
1999-06-23,24.6094,24.8906,24.5156,24.6406,17400,12.9047
1999-06-24,24.5469,24.9062,24.5000,24.5625,23000,12.8637
1999-06-25,24.9375,25.0000,24.4062,24.5469,149300,12.8556
1999-06-28,24.8438,25.8594,24.5156,24.5625,21200,12.8637
1999-06-29,24.6250,25.2188,24.5156,25.0000,46400,13.0929
1999-06-30,25.2188,25.6250,24.8281,25.5938,51000,13.4038
1999-07-01,25.6719,25.9688,25.5781,25.7812,38400,13.5020
1999-07-02,25.8281,26.0000,25.7188,25.8750,48500,13.5511
1999-07-06,25.9844,26.2344,25.7031,25.8594,93000,13.5429
1999-07-07,25.9062,25.9219,25.6875,25.7500,17800,13.4856
1999-07-08,25.4844,25.9844,25.4844,25.5469,34800,13.3793
1999-07-09,25.9062,25.9062,25.6250,25.6719,31900,13.4447
1999-07-12,25.7188,25.7500,25.5469,25.6250,14300,13.4202
1999-07-13,25.5469,26.0000,25.4688,25.7188,22600,13.4693
1999-07-14,25.7500,25.8906,25.5469,25.6406,19100,13.4284
1999-07-15,25.8281,26.2188,25.8281,25.9219,28000,13.5757
1999-07-16,26.2031,26.2031,25.8281,25.8750,23700,13.5511
1999-07-19,26.2500,26.2500,25.5938,25.6562,33100,13.4366
1999-07-20,25.9844,25.9844,25.3281,25.4375,35900,13.3220
1999-07-21,25.6250,25.7188,25.3438,25.5469,23700,13.3793
1999-07-22,25.5469,25.6562,25.1250,25.2656,24900,13.2320
1999-07-23,25.2188,25.4688,25.0625,25.0781,37200,13.1338
1999-07-26,25.1562,25.3125,25.0156,25.3125,82300,13.2565
1999-07-27,25.4219,25.5625,25.0938,25.3906,38000,13.2974
1999-07-28,25.2344,25.3125,25.0312,25.1562,20600,13.1747
1999-07-29,25.0000,25.0000,24.5469,24.7812,115300,12.9783
1999-07-30,24.7812,24.9375,24.6250,24.6406,48700,12.9047
1999-08-02,24.6719,24.9688,24.6406,24.6406,29600,12.9047
1999-08-03,24.8906,24.9531,24.5625,24.8281,56300,13.0028
1999-08-04,24.9844,24.9844,24.1875,24.3750,57400,12.7655
1999-08-05,24.3750,24.5000,23.8594,24.4375,85300,12.7983
1999-08-06,24.2812,24.2812,23.7969,24.0312,18800,12.5855
1999-08-09,24.1250,24.1875,23.8906,23.9688,7400,12.5528
