Date,Open,High,Low,Close,Volume,AdjClose
1998-12-22,24.8125,25.0625,24.8125,25.0312,5700,16.6524
1998-12-23,25.1875,25.5938,25.1875,25.5938,18100,17.0266
1998-12-24,25.6250,25.7500,25.5156,25.7500,4900,17.1306
1998-12-28,25.6719,25.7500,25.3750,25.3750,15500,16.8811
1998-12-29,25.3750,25.9375,25.3750,25.9375,5300,17.2553
1998-12-30,26.0000,26.0312,25.7188,25.7188,17300,17.1098
1998-12-31,25.8125,26.0000,25.7500,26.0000,6600,17.2969
1999-01-04,26.2500,26.3750,25.7812,25.9375,249200,17.2553
1999-01-05,26.0000,26.3438,26.0000,26.3438,4400,17.5256
1999-01-06,26.5312,26.7812,26.4688,26.7812,38500,17.8166
1999-01-07,26.5312,26.6875,26.3438,26.6562,15900,17.7335
1999-01-08,26.7188,26.9844,26.7188,26.9844,24400,17.9518
1999-01-11,26.9688,27.2500,26.8125,27.0469,7700,17.9933
1999-01-12,27.1250,27.2500,26.9062,26.9375,270700,17.9206
1999-01-13,25.7812,26.8750,25.7812,26.6875,7100,17.7543
1999-01-14,26.7812,26.8594,26.3750,26.4688,12200,17.6087
1999-01-15,26.5625,26.9062,26.5625,26.8281,7700,17.8478
1999-01-19,27.2812,27.6562,27.1250,27.5938,22700,18.3572
1999-01-20,27.7500,28.1250,27.5938,27.7500,25800,18.4611
1999-01-21,27.6875,27.6875,26.7188,26.7812,23200,17.8166
1999-01-22,26.5938,26.8750,26.4062,26.6719,67100,17.7439
1999-01-25,26.6875,26.9062,26.6875,26.8906,495300,17.8894
1999-01-26,26.9375,27.0312,26.6719,27.0156,187400,17.9726
1999-01-27,27.0938,27.0938,26.7500,26.7500,6800,17.7958
1999-01-28,27.0000,27.3438,27.0000,27.2500,25800,18.1285
1999-01-29,27.2812,27.2812,26.9062,27.2500,13800,18.1285
1999-02-01,27.3750,27.4688,27.1562,27.4062,34000,18.2324
1999-02-02,26.9688,27.0469,26.6250,27.0000,141700,17.9622
1999-02-03,26.9375,27.5156,26.9375,27.5156,38900,18.3052
1999-02-04,27.3438,27.4375,27.1250,27.3125,7400,18.1701
1999-02-05,27.3125,27.3125,26.8125,27.0000,16900,17.9622
1999-02-08,27.1250,27.1250,26.8750,26.9844,6500,17.9518
