Date,Open,High,Low,Close,Volume,AdjClose
1998-12-22,12.6562,12.7344,12.6562,12.7344,7400,9.3402
1998-12-23,12.7500,12.8750,12.7344,12.7891,24000,9.3803
1998-12-24,12.9688,13.0234,12.9062,13.0234,3200,9.5522
1998-12-28,12.9609,12.9688,12.9062,12.9062,17200,9.4663
1998-12-29,12.9453,13.1875,12.9453,13.1875,2200,9.6726
1998-12-30,13.1797,13.2031,13.0781,13.0781,63400,9.5923
1998-12-31,13.0781,13.1250,13.0625,13.0625,64800,9.5809
1999-01-04,13.0781,13.2656,12.9531,12.9844,10400,9.5236
1999-01-05,13.0625,13.2031,13.0625,13.2031,2600,9.6840
1999-01-06,13.3594,13.5781,13.3594,13.5781,16200,9.9591
1999-01-07,13.5156,13.6562,13.5000,13.5625,27400,9.9476
1999-01-08,13.6406,13.7031,13.5547,13.5781,37200,9.9591
1999-01-11,13.6250,13.6406,13.3984,13.5078,126200,9.9075
1999-01-12,13.3047,13.3438,13.1406,13.1562,6600,9.6496
1999-01-13,12.8438,13.2188,12.8438,13.2188,6800,9.6955
1999-01-14,13.0938,13.1562,12.8594,12.9219,73200,9.4777
1999-01-15,13.0938,13.1016,13.0234,13.0859,69600,9.5981
1999-01-19,13.2344,13.2891,13.0781,13.0781,8200,9.5923
1999-01-20,13.2656,13.4219,13.2109,13.2969,7000,9.7528
1999-01-21,13.2656,13.2812,13.1406,13.1719,63000,9.6611
1999-01-22,12.9688,13.2734,12.9375,13.2344,24600,9.7069
1999-01-25,13.1719,13.2344,13.1094,13.2031,16200,9.6840
1999-01-26,13.2812,13.5156,13.2422,13.5156,7400,9.9132
1999-01-27,13.5312,13.5625,13.5000,13.5000,3800,9.9018
1999-01-28,13.5312,13.6406,13.5312,13.6406,8600,10.0049
1999-01-29,13.6875,13.7812,13.5938,13.7344,13600,10.0737
1999-02-01,13.7969,13.8047,13.7188,13.7656,12200,10.0966
1999-02-02,13.6562,13.6562,13.4688,13.5938,41800,9.9705
1999-02-03,13.5625,13.8281,13.5469,13.8125,46200,10.1310
1999-02-04,13.8984,13.9141,13.7188,13.7344,39000,10.0737
1999-02-05,13.5938,13.6797,13.3906,13.3906,11600,9.8215
1999-02-08,13.5078,13.6094,13.3359,13.6094,16400,9.9820
1999-02-09,13.4375,13.4531,13.1875,13.1875,18800,9.6726
1999-02-10,13.1719,13.2656,13.1094,13.1875,18400,9.6726
1999-02-11,13.2656,13.6328,13.2266,13.6172,24400,9.9877
1999-02-12,13.4375,13.4531,13.2891,13.3750,11600,9.8101
1999-02-16,13.4922,13.6250,13.4844,13.5469,18600,9.9362
1999-02-17,13.5781,13.7734,13.5000,13.5000,29400,9.9018
1999-02-18,13.5000,13.5156,13.3828,13.5156,7000,9.9132
1999-02-19,13.5312,13.5859,13.4922,13.5859,1800,9.9648
1999-02-22,13.6250,13.9297,13.6250,13.9297,28000,10.2169
1999-02-23,13.9375,13.9531,13.7500,13.8594,13600,10.1654
1999-02-24,13.9531,14.0469,13.6875,13.6875,18000,10.0393
1999-02-25,13.6562,13.6719,13.3281,13.5312,38200,9.9247
1999-02-26,13.5156,13.7031,13.5156,13.6484,17000,10.0106
1999-03-01,13.6094,13.6562,13.5312,13.6562,17200,10.0164
1999-03-02,13.6875,13.8516,13.6875,13.6875,36200,10.0393
1999-03-03,13.7031,13.7266,13.6172,13.6172,2000,9.9877
1999-03-04,13.9219,13.9531,13.7812,13.9062,10800,10.1997
1999-03-05,14.2188,14.4219,14.2188,14.3281,49600,10.5092
1999-03-08,14.4375,14.4375,14.2031,14.3906,24600,10.5550
1999-03-09,14.3594,14.5156,14.3203,14.4297,24200,10.5837
1999-03-10,14.4375,14.4609,14.3594,14.3906,11200,10.5550
1999-03-11,14.5000,14.6328,14.4609,14.5469,26200,10.6696
1999-03-12,14.7031,14.7812,14.2500,14.6094,27400,10.7155
1999-03-15,14.5938,14.6484,14.5000,14.6406,14200,10.7384
1999-03-16,14.7344,14.7344,14.5000,14.5625,12400,10.6811
1999-03-17,14.5469,14.5469,14.3594,14.5000,13400,10.6352
1999-03-18,14.4062,14.7500,14.4062,14.7500,14000,10.8186
1999-03-19,14.7344,14.7344,14.5312,14.5312,26200,10.6697
1999-03-22,14.5000,14.5000,14.3125,14.3750,37200,10.5550
1999-03-23,14.2656,14.2656,13.9062,13.9375,19600,10.2338
1999-03-24,14.0000,14.0000,13.7969,13.8281,25800,10.1535
1999-03-25,14.0469,14.2500,13.9688,14.2500,20400,10.4632
1999-03-26,14.2188,14.2812,14.0938,14.1562,12600,10.3944
1999-03-29,14.3984,14.5000,14.3672,14.5000,10200,10.6468
1999-03-30,14.4375,14.5469,14.3906,14.5156,72600,10.6583
1999-03-31,14.5938,14.6094,14.2969,14.2969,48800,10.4976
1999-04-01,14.3750,14.3750,14.1953,14.2812,8200,10.4862
1999-04-05,14.3750,14.5156,14.3281,14.4688,19200,10.6238
1999-04-06,14.5234,14.6406,14.4688,14.5469,21800,10.6812
1999-04-07,14.6641,14.7031,14.6250,14.6719,27200,10.7730
1999-04-08,14.7188,15.0000,14.7188,15.0000,41600,11.0139
1999-04-09,14.9375,15.1641,14.9375,15.1406,145800,11.1172
1999-04-12,14.9062,15.3281,14.9062,15.2656,42200,11.2090
1999-04-13,15.3125,15.3281,15.1094,15.1875,65400,11.1516
1999-04-14,15.1875,15.2188,14.8438,14.8438,99400,10.8992
1999-04-15,14.9375,14.9688,14.5938,14.8125,71600,10.8762
1999-04-16,14.8125,14.8750,14.7031,14.8594,23200,10.9107
1999-04-19,15.0938,15.2812,14.4844,14.5312,74800,10.6697
1999-04-20,14.6250,14.7812,14.5781,14.7188,31200,10.8074
1999-04-21,14.8125,14.9688,14.7344,14.9688,90200,10.9910
1999-04-22,15.0469,15.1562,14.9375,15.0078,71400,11.0197
1999-04-23,15.0625,15.2031,15.0625,15.1719,4000,11.1401
1999-04-26,15.2344,15.2500,15.0781,15.0781,188800,11.0713
1999-04-27,15.1719,15.1875,15.0625,15.1172,8200,11.1000
1999-04-28,15.2031,15.2969,15.0625,15.0625,12000,11.0598
1999-04-29,14.9375,15.0469,14.6562,14.7188,35800,10.8074
1999-04-30,14.8594,14.8906,14.2344,14.6719,74600,10.7730
1999-05-03,14.7031,15.0469,14.7031,15.0312,181200,11.0369
1999-05-04,15.2031,15.2188,14.7656,14.8594,382800,10.9107
1999-05-05,14.8906,14.8906,14.5000,14.7344,99400,10.8189
1999-05-06,14.5938,14.6562,14.4062,14.4062,24000,10.5779
1999-05-07,14.5781,14.7344,14.5625,14.7344,51200,10.8189
