familie,indikator,art,ziel,h,n,mu,mu0,t,t_rob,t1,t2,erste,letzte,f_t,f_kosten,f_n,f_stabil,alle,vor,placebo_p,t_bestaetigung_etf
S,neu_treasury_tga_tga_d5,sprung_auf,xle,5,46,1.677386918727972,-0.014336649951501962,4.67800994846486,3.4489995306216517,3.2551886518783144,3.360516462156953,2006-08-18,2020-12-02,False,True,True,True,False,True,0.0001,
S,neu_treasury_debt_penny_oeffentlich_gehalten_d5,hoch,spy,20,46,0.9626368243311845,0.10975736759581642,4.468595590732654,2.5926025395086407,4.370212471572615,1.9493360176021186,2006-03-28,2020-06-01,False,True,True,True,False,True,0.0001,
S,neu_fred_implied_vol_oel_d20,sprung_auf,xlb,5,37,1.2092730692846598,0.05934016624618171,4.353401554572951,3.5480286475402742,4.358532174098518,1.7635965706803043,2008-01-24,2020-05-22,False,True,True,True,False,True,0.0,
S,neu_fred_implied_vol_oel_z252,hoch,lqd,1,48,0.6215657028541516,0.0020670916248781944,4.178745238065996,2.5079432683833085,4.735556367356055,1.1740818220188642,2008-07-21,2020-04-23,False,True,True,True,False,True,0.0001,
S,neu_treasury_debt_penny_oeffentlich_gehalten_d5,hoch,xli,5,57,0.753334775393528,0.027928728788412044,4.08736672469621,2.5987283942225856,3.521736943964751,2.2477184736386033,2006-03-28,2020-06-01,False,True,True,True,False,True,0.0,
L,neu_treasury_auktionen_bid_to_cover_stand,hoch,ff_durbl,20,82,1.978425288875137,0.20206342397910182,4.064725029462734,2.667999195336442,3.0189510666689405,2.7294381973146344,2002-01-10,2020-11-19,False,True,True,True,False,True,0.0001,1.5217758182351317
S,neu_cboe_vvix_vvix_d20,sprung_ab,xlu,5,31,1.6193798563564583,-0.002141498827667276,4.046045701170208,2.7752345658726343,2.028916215037254,3.721101517082603,2007-03-28,2020-07-13,False,True,True,True,False,True,0.0001,
S,neu_treasury_yield_curve_kurz_d20,sprung_ab,gld,5,45,1.9442961683957092,0.04584787610671391,4.037198973042487,2.766366795582299,2.8048172280062853,2.906122579751014,2004-12-31,2020-03-03,False,True,True,True,False,True,0.0,
L,neu_treasury_debt_penny_gesamt_stand,sprung_ab,ff_buseq,5,34,1.1575278055788896,0.04665266100942267,4.034870079266935,3.213106607466922,4.492932400910235,1.2132355876024687,1993-11-24,2019-03-05,False,True,True,True,False,True,0.0001,-1.4028189663978936
S,paar_zins_us_jp_d20,hoch,lqd,5,59,1.2322892555582399,-0.05528085991417104,3.969906183844348,3.9394339367970894,3.220833104386826,2.3865933562749255,2002-10-24,2020-12-09,False,True,True,True,False,True,0.0,
