familie,indikator,art,ziel,h,n,mu,mu0,t,t_rob,t1,t2,erste,letzte,f_t,f_kosten,f_n,f_stabil,f_rob,alle,vor,placebo_p,t_bestaetigung_etf
S,neu_treasury_tga_tga_d5,sprung_auf,xle,5,46,1.6774440841691007,-0.014336306995658027,4.678170666269017,3.449087122840955,3.2553761623109203,3.360556241022701,2006-08-18,2020-12-02,False,True,True,True,True,False,True,0.0001,
S,neu_treasury_debt_penny_oeffentlich_gehalten_d5,hoch,spy,20,46,0.9626314734957407,0.10975740654532046,4.468562550904114,2.592592896723753,4.370139947619159,1.949361816181952,2006-03-28,2020-06-01,False,True,True,True,False,False,True,0.0001,
S,neu_fred_implied_vol_oel_d20,sprung_auf,xlb,5,37,1.209312195438961,0.05934006153246053,4.353546130864393,3.548174569171978,4.35877390779181,1.7635554949671333,2008-01-24,2020-05-22,False,True,True,True,True,False,True,0.0,
S,neu_fred_implied_vol_oel_z252,hoch,lqd,1,48,0.6215657028541516,0.002067091624878276,4.1787452380659955,2.507943268383308,4.73555636735605,1.1740818220188682,2008-07-21,2020-04-23,False,True,True,True,False,False,True,0.0001,
S,neu_treasury_debt_penny_oeffentlich_gehalten_d5,hoch,xli,5,57,0.7533192811150422,0.027928788090760277,4.087276739922011,2.598647869922757,3.5215212104444378,2.2478096368579865,2006-03-28,2020-06-01,False,True,True,True,False,False,True,0.0,
L,neu_treasury_auktionen_bid_to_cover_stand,hoch,ff_durbl,20,82,1.978425288875137,0.20206342397910151,4.064725029462735,2.667999195336443,3.018951066668942,2.7294381973146353,2002-01-10,2020-11-19,False,True,True,True,False,False,True,0.0001,1.5217379117472805
S,neu_cboe_vvix_vvix_d20,sprung_ab,xlu,5,31,1.619356620387248,-0.0021414699806517304,4.045998595653639,2.775194124391997,2.0288836909892423,3.721067389328212,2007-03-28,2020-07-13,False,True,True,True,False,False,True,0.0001,
S,neu_treasury_yield_curve_kurz_d20,sprung_ab,gld,5,45,1.9443087281723397,0.04584790190429367,4.037226569549448,2.7663878730343514,2.8048737417447884,2.9061042642377455,2004-12-31,2020-03-03,False,True,True,True,False,False,True,0.0,
L,neu_treasury_debt_penny_gesamt_stand,sprung_ab,ff_buseq,5,34,1.1575278055788896,0.04665266100942267,4.034870079266935,3.213106607466922,4.492932400910235,1.213235587602469,1993-11-24,2019-03-05,False,True,True,True,True,False,True,0.0001,-1.4029109035285348
S,paar_zins_us_jp_d20,hoch,lqd,5,59,1.232317750078583,-0.055280893199536545,3.969994214311183,3.9395448909991764,3.220893382110731,2.3866576106046318,2002-10-24,2020-12-09,False,True,True,True,True,False,True,0.0,
S,neu_fred_effr_effr_d5,sprung_ab,shy,5,54,1.2377566847502408,-0.10923402436511775,3.908333310163735,2.6543703318822707,2.953919591998296,2.5732983815097907,2003-07-03,2020-03-06,False,True,True,True,False,False,True,0.0002,
L,neu_mof_jgb_zinsen_steilheit_stand,sprung_ab,ff_telcm,20,40,1.9045047964447535,-0.07173208209343357,3.8325855414217274,3.4612003772120428,3.1893164350845757,2.2307780165490616,1987-04-09,2020-03-13,False,True,True,True,True,False,True,0.0002,
S,paar_kurz_us_uk_d20,hoch,gld,5,68,1.499213928883663,0.04584790190429367,3.7993096108873354,2.482608346877847,3.8862943599539306,1.4867408194173852,2005-02-02,2020-06-17,False,True,True,True,False,False,True,0.0002,
L,neu_fred_propane_propan_d5,sprung_ab,ff_nodur,5,39,0.7224852641273198,0.00439790312740213,3.799268897657414,2.6947120890651477,1.5447737903306913,3.8583111168684154,1994-02-08,2020-03-11,False,True,True,True,False,False,True,0.0003,4.184682384068524
S,neu_cboe_vvix_vvix_d20,hoch,ibb,5,51,1.440984085195618,0.03404791230992636,3.7955678054496738,3.611400999850639,2.6500166927928728,2.7186578000805652,2007-08-01,2020-10-29,False,True,True,True,True,False,True,0.0001,
